TotalFile:3900	PakTime:2010-4-26 18:54:34	PakTimeSave:4bd570ea	CRC:9ac01ea
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
19	1e3fe29	2009-6-26 18:1:38	\setting\map\map_info\wulingshan\info.txt	2115	714	4	57597fb7
20	1f16016	2008-3-25 0:46:52	\setting\map\map_info\yanziwu_2\npc\area2.txt	1135	528	4	288f6ab5
21	2228cc3	2008-11-27 21:28:23	\setting\map\map_info\jingshe_yuan\trap\to_shutong.txt	153	76	4	f6fcecc
22	23df5b8	2007-9-29 16:4:44	\setting\map\map_info\zhanchang_xiagu_xiangyang\trap\houying1_qianying1.txt	405	182	4	e2c3a25a
23	241931a	2008-5-9 11:55:57	\setting\map\map_info\yipintangbingying\trap\to_exit544.txt	139	77	4	b896f0ac
24	25afd78	2007-6-9 12:56:0	\setting\map\map_info\tianlongsi_shinei\trap\to_exit23.txt	181	93	4	ba1f7621
25	25b8f2c	2008-7-8 11:1:17	\setting\map\map_info\bangyuanmidong\npc\area2.txt	2197	924	4	f2bbc1ab
26	265cd9a	2008-1-28 19:44:9	\setting\map\map_info\gaibang_shinei\info.txt	229	175	4	92bb7e25
27	26b4b89	2008-8-29 16:55:23	\setting\map\map_info\funiushanjunying1\npc\huwei.txt	67	58	4	b8d8c8cc
28	278b90d	2008-3-25 0:46:54	\setting\map\map_info\yanziwu_2\npc\area3.txt	1456	736	4	1a51cc1
29	27c0533	2008-5-24 15:16:4	\setting\map\map_info\talin_2_hfjct2\trap\to_talin.txt	139	67	4	2b536e9f
30	27db6ce	2007-8-13 20:55:15	\setting\map\map_info\juyanze\npc\area3.txt	1917	836	4	3cd130c3
31	28a6633	2008-7-8 10:3:22	\setting\map\map_info\huanghelou\npc\gaibangdizi.txt	97	70	4	b8b5b4e1
32	292a3a5	2007-7-9 16:41:25	\setting\map\map_info\bangyuanmidong_shinei\trap\to_exit28.txt	265	127	4	85cb826c
33	29f83d0	2007-9-13 17:42:24	\setting\map\map_info\jiulaodong_1\npc\area4.txt	853	404	4	1d46f2fb
34	2beb9a7	2008-11-27 21:28:22	\setting\map\map_info\jingshe_yuan\trap\to_mudi.txt	265	112	4	391f4e08
35	2c43a48	2009-5-22 10:58:15	\setting\map\map_info\longzhoubisaichang\trap\pm31.txt	559	203	4	c24f90d8
36	2c5ef4e	2008-8-29 16:55:23	\setting\map\map_info\funiushanjunying2\npc\jiguanqiaojiang.txt	55	51	4	467b02a4
37	2cbd4ee	2008-5-16 12:0:21	\setting\map\map_info\juyanze_shinei\trap\to_exit9.txt	307	145	4	8369413d
38	2dfa358	2009-1-4 9:59:22	\setting\map\map_info\talin_2_hfjct1\info.txt	606	369	4	795e4700
39	2e704b5	2008-12-15 18:33:36	\setting\map\map_info\afanggongfeixu\trap\to_huashan.txt	433	166	4	b659d456
40	2ed266c	2010-1-14 22:46:28	\setting\partner\moonstone.txt	1117	445	4	59027ed5
41	2eeea6d	2008-7-8 11:3:26	\setting\map\map_info\jianjudong\npc\area4.txt	2301	1003	4	67eadc9f
42	309db05	2008-5-24 15:11:37	\setting\map\map_info\jiulaofeng_zhjdzh\npc\wuxiqinbingz.txt	65	57	4	13da6283
43	30d7eb0	2007-8-17 17:32:37	\setting\map\map_info\longquancun\trap\to_zhujianfang.txt	335	145	4	271b6fa9
44	31f8fa5	2007-10-12 20:51:48	\setting\map\map_info\fengxiangfu\trap\to_kunlunpai.txt	517	176	4	8ba5dfae
45	3209a20	2008-11-7 11:16:43	\setting\lifeskill\recipekinddesc.txt	519	388	4	7182e970
46	3534432	2008-5-24 15:2:43	\setting\map\map_info\tangmenbieyuan_2\trap\to_exit534.txt	125	69	4	af715ea6
47	356c156	2007-6-9 12:55:27	\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit29.txt	279	133	4	9898efc0
48	35ee1d8	2007-8-7 10:31:49	\setting\map\map_info\talin_1\npc\area3.txt	1917	780	4	a34a4a3a
49	380017f	2008-1-24 16:21:13	\setting\map\map_info\daliduanshi\trap\to_baihuagu.txt	587	216	4	28bfd315
50	3853c35	2007-6-9 12:55:39	\setting\map\map_info\qingluodao\trap\to_xingtianling.txt	335	129	4	505f9d09
51	38f269e	2007-6-9 12:54:59	\setting\map\map_info\hupanzhulin_1\trap\to_hupanzhulin_2.txt	363	130	4	b9fd1633
52	390b1a3	2008-5-24 15:14:53	\setting\map\map_info\qingluodao_cang1\npc\tianwangdizi.txt	69	57	4	cfd2cc09
53	396fc65	2007-7-16 16:59:47	\setting\map\map_info\hanshuigudu_shinei\trap\to_midaochukou.txt	237	98	4	4c5b0463
54	3b1b410	2007-6-9 12:56:45	\setting\map\map_info\yuanshisenlin_2\trap\to_dingtaoling2.txt	69	54	4	1fade55f
55	3c758f1	2008-11-11 18:16:28	\setting\npc\droprate\droprate002_jingying.txt	719	368	4	ae4bb937
56	3c8eaf7	2007-9-13 17:42:24	\setting\map\map_info\jianjudong\trap\to_shugangshan.txt	181	92	4	21519709
57	3cba9f3	2008-5-21 16:9:32	\setting\map\map_info\changjianghegu\npc\area4.txt	3541	1558	4	86b3e60b
58	3e0eee1	2010-1-30 23:14:33	\setting\marry\caibaotu_1.txt	561	301	4	fbde80b0
59	3e1b634	2008-8-29 17:56:22	\setting\map\mapid_level.txt	829	357	4	213e12dd
60	3e5d401	2007-6-9 12:54:58	\setting\map\map_info\hupanzhulin_1\npc\qiankunhufa.txt	69	55	4	59c805ed
61	3f834bc	2008-1-21 15:10:8	\setting\pvp\map\chuanrudian_dadian.txt	233	150	4	b9fae345
62	40bfc4d	2009-7-31 9:59:49	\setting\mission\wlls\league_type\double.txt	1260	666	4	296756d
63	41dbe0b	2008-5-9 11:53:24	\setting\map\map_info\jiuyixixiaowu\trap\to_exit541.txt	111	67	4	42239eee
64	432372f	2009-1-4 9:54:30	\setting\map\map_info\linanfu_mishi\info.txt	435	315	4	a2598421
65	4330e70	2007-10-16 17:4:55	\setting\map\map_info\tianlongsi_shinei\npc\daorenshouwei.txt	181	121	4	e984145a
66	439a1ed	2010-3-4 11:24:2	\setting\map\map_info\tianrenjiao\trap\tianrenjiaojindi_digong.txt	615	234	4	ac87ca79
67	43c922c	2009-1-4 9:52:26	\setting\map\map_info\jianxingfeng_ceng3\info.txt	631	358	4	7c208f13
68	442d452	2007-6-9 12:55:27	\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit28.txt	265	127	4	85cb826c
69	45a2eba	2007-6-9 12:56:45	\setting\map\map_info\yuanshisenlin_2\trap\to_dingtaoling1.txt	69	57	4	b44a5456
70	468d813	2010-1-8 16:59:6	\setting\event\jieri\201001_springfrestival\huadeng\hd_xiangyang.txt	685	396	4	9bdfe419
71	4740707	2009-1-4 9:57:16	\setting\map\map_info\menpaijingjichang_wudu\info.txt	1331	432	4	9d62bafd
72	47b1bed	2008-5-25 23:39:46	\setting\map\map_info\shenmibaoku\trap\to_tiandiriyue.txt	533	191	4	76d5519c
73	47b71ef	2008-8-22 9:30:26	\setting\npc\droprate\shenmibaoku\boss_yunxueshan.txt	1007	394	4	c7032e0f
74	4b41e01	2007-8-23 18:59:57	\setting\map\map_info\shugangshan\npc\area2.txt	1693	709	4	b124579b
75	5014064	2008-9-27 10:16:26	\setting\map\map_info\linanfu_zhaofu\trap\to_exit515.txt	169	86	4	6e6a1f1d
76	5092b1f	2008-3-25 0:46:50	\setting\map\map_info\yanziwu_2\npc\area1.txt	1378	700	4	3c47c051
77	50c3900	2007-8-7 10:31:49	\setting\map\map_info\talin_2\npc\area3.txt	1651	685	4	c464ea19
78	53c37df	2008-7-25 17:46:27	\setting\boss\KinEctype\worldboss\75boss_shui\xiaobin_qungong.ini	197	128	4	6adcbf19
79	54d4013	2008-8-29 16:55:23	\setting\map\map_info\funiushanjunying1\npc\yijunjingrui.txt	57	56	4	36a123d9
80	56e4f6e	2009-1-4 9:50:34	\setting\map\map_info\fengduguicheng\info.txt	1651	577	4	c6b42bb2
81	56fefcf	2007-8-23 18:59:56	\setting\map\map_info\fenglingdu\npc\area4.txt	3023	1130	4	18b21a2d
82	58405a3	2009-12-25 17:29:52	\setting\mission\gbwlls\league_award\award_session_4_lv1.txt	611	334	4	2f8a77b2
83	587505b	2007-6-9 12:55:51	\setting\map\map_info\talin_2\trap\to_huifengjiao.txt	139	78	4	2f768c7
84	5babdfd	2008-3-25 0:47:33	\setting\map\wharf.txt	415	317	4	b6025c80
85	5c2c8d1	2008-7-8 11:3:26	\setting\map\map_info\jianjudong\npc\area2.txt	2280	980	4	4eb867c0
86	5ca17c7	2008-1-21 15:10:6	\setting\map\map_info\baihutangsanceng_1\trap\to_exit.txt	455	158	4	b569193e
87	5e42057	2009-11-13 16:3:2	\setting\item\001\equip\purple\boots.txt	254618	16112	4	ddd884f6
88	621adf4	2008-12-15 18:33:38	\setting\map\map_info\longmenzhen\trap\to_yueyaquan.txt	643	240	4	395559bb
89	625915f	2008-5-9 14:14:56	\setting\boss\75boss_tu.ini	1758	710	4	89b14039
90	6395935	2008-7-8 10:3:25	\setting\map\map_info\xiagu2\npc\yanbangbangzhong.txt	299	195	4	d94d3a83
91	6468efb	2007-6-15 5:30:47	\setting\map\map_info\jiangeshudao_shinei\trap\to_exit28.txt	265	127	4	85cb826c
92	6514dec	2008-3-25 0:45:16	\setting\map\map_info\jiulaodong_1\npc\area3.txt	1231	553	4	abcb6a
93	657995f	2008-5-22 16:16:40	\setting\map\map_info\zhanchang_xibei_fengxiang\trap\daying1_yewai.txt	1742	688	4	2984a614
94	65cfb27	2007-9-13 17:42:24	\setting\map\map_info\jianjudong\npc\area3.txt	1916	784	4	3f9973d4
95	660259a	2008-7-8 11:1:14	\setting\map\map_info\bangyuanmidong\npc\area1.txt	2183	921	4	daab425d
96	661a476	2009-2-9 14:4:45	\setting\ibshop\voucherlist.txt	96	80	4	8dd9e64c
97	6785fd0	2008-12-15 18:33:41	\setting\map\map_info\yueyaquan\trap\to_longmenzhen.txt	461	158	4	33eb075f
98	67aed09	2009-7-9 15:45:41	\setting\item\001\other\planitem.txt	3887	863	4	dd243c9d
99	683ff8f	2008-3-25 0:46:16	\setting\map\map_info\talin_1\npc\area2.txt	2155	913	4	b377f7db
100	69f42b1	2010-3-31 12:2:5	\setting\map\map_info\yuanshisenlin_2_jyt\npc\gaibangwushi.txt	55	50	4	4eda1b83
101	6c32e60	2009-4-22 17:52:55	\setting\boss\taskhailingwangmu\4184.ini	696	265	4	4770cc5c
102	6c7817d	2008-8-29 16:55:23	\setting\map\map_info\funiushanjunying2\npc\nongfu.txt	83	70	4	1a374e6c
103	6e2e604	2008-12-4 10:1:43	\setting\battle\map\xiagu\qianyingeffect3.txt	134	91	4	c22cdd9c
104	70e9010	2008-5-16 12:0:18	\setting\map\map_info\juyanze_shinei\trap\to_exit8.txt	279	129	4	25aed44c
105	71fe67a	2009-5-22 10:58:15	\setting\map\map_info\longzhoubisaichang\trap\pm30.txt	447	154	4	271d3089
106	7326343	2007-6-9 12:55:58	\setting\map\map_info\tianlongsi\trap\to_diancangshan.txt	223	90	4	d2849656
107	734ce6e	2007-6-9 12:56:0	\setting\map\map_info\tianlongsi_shinei\trap\to_exit22.txt	223	110	4	fd19409e
108	74992c5	2010-1-8 16:59:6	\setting\event\jieri\201001_springfrestival\huadeng\hd_fengxiang.txt	713	393	4	ba2e5bc
109	750261a	2010-1-22 23:37:40	\setting\spreader\non_ib_item.txt	2787	1228	4	e3a71285
110	76a19ed	2009-11-30 10:7:54	\setting\event\jieri\200812_xmas\snowman\xiaoxuedui.txt	1129	517	4	9550b374
111	76c9d19	2009-6-26 18:1:34	\setting\map\map_info\suoyunyuan\info.txt	3289	919	4	649b2b73
112	77492df	2009-1-4 10:21:31	\setting\map\map_info\baimanshan\trap\to_shenzhufeng.txt	286	116	4	af5aae6b
113	77527ea	2007-8-23 18:59:56	\setting\map\map_info\huanghelou\trap\to_pengliguze.txt	377	137	4	3c192592
114	77984f5	2008-12-15 18:33:37	\setting\map\map_info\huashan\trap\to_afanggongfeixu.txt	615	201	4	510eefb5
115	7acdd68	2009-11-30 10:7:54	\setting\event\jieri\200812_xmas\snowman\xuerenguoguo\7_dali.txt	1413	617	4	a9fae003
116	7ad466b	2008-5-25 23:39:46	\setting\kin\kingame\room18\fixindex.txt	67	67	0	e520a4fb
117	7bbda4f	2007-7-9 16:41:25	\setting\map\map_info\bangyuanmidong_shinei\trap\to_exit27.txt	265	129	4	cf9d3b7a
118	7d0cc61	2007-9-6 17:6:20	\setting\map\map_info\changjianghegu\npc\area3.txt	2897	1249	4	3e89833a
119	7d8be41	2008-9-27 10:16:24	\setting\map\map_info\linanfu_houyuan\trap\to_pengfu.txt	195	89	4	140ac671
120	7ecb20f	2007-10-18 16:22:45	\setting\event\huihuangzhiguo\guzhanchang\seedposfile.txt	713	359	4	44f0974a
121	8053e27	2009-2-19 8:55:26	\setting\ibshop\taelshop.txt	17	17	0	f2b4f8af
122	805e159	2007-6-14 14:4:40	\setting\map\map_info\jiangeshudao_shinei\trap\to_midaohou.txt	223	96	4	fe4ba41c
123	8147586	2009-1-4 9:53:43	\setting\map\map_info\jiuyixixiaowu\info.txt	373	278	4	ba7f0ee1
124	817b26c	2007-8-23 18:59:57	\setting\map\map_info\shugangshan\npc\area1.txt	2477	1006	4	e5db243b
125	837d0b1	2008-7-4 18:51:10	\setting\boss\75boss_shui\xiaobin_fuzhi2.ini	110	110	0	3d826cd3
126	84c74e9	2007-7-9 16:41:25	\setting\map\map_info\bangyuanmidong_shinei\trap\to_exit26.txt	223	109	4	54a32dfe
127	859de16	2008-8-21 11:28:25	\setting\map\map_info\shugangmijing\npc\area4.txt	2262	940	4	e5f40051
128	87256ab	2008-9-26 14:4:15	\setting\map\station.txt	759	473	4	4bb2a6e
129	8b137b7	2008-3-17 20:54:40	\setting\map\map_info\talin_2\npc\area2.txt	2113	847	4	4a1c175a
130	8ddfd79	2007-8-23 18:59:56	\setting\map\map_info\fenglingdu\npc\area3.txt	1973	838	4	b08e6c86
131	8ea230f	2008-7-8 10:3:22	\setting\map\map_info\jianmenguan\npc\yijunshouwei.txt	167	113	4	d420ecd8
132	8eab69f	2009-12-25 17:29:52	\setting\mission\gbwlls\league_award\award_session_7_type.txt	127	103	4	fc659122
133	93b0898	2009-4-22 17:52:55	\setting\boss\taskhailingwangmu\4182.ini	324	165	4	d2a0070b
134	94fd94c	2009-4-17 10:23:48	\setting\event\changelive\jstran_accvalsum.txt	147564	79172	4	8892a255
135	95f4c92	2009-12-18 20:24:56	\setting\partner\starlevel.txt	558	242	4	60646d9e
136	967716e	2010-4-16 10:32:18	\setting\mission\gbwlls\league_award\award_session_2_lv2.txt	1441	473	4	d9759d85
137	97c5b27	2008-7-19 16:46:47	\setting\boss\75boss_mu\xiaobin_ruodanmu.ini	273	165	4	38e0dafa
138	9b0d98b	2007-9-13 17:42:24	\setting\map\map_info\jianjudong\npc\area1.txt	1833	801	4	92d4e2f5
139	9b81434	2009-7-3 11:17:50	\setting\map\map_info\jianxingfeng\info.txt	5217	1459	4	2beff3b7
140	9be3b5e	2007-6-9 12:55:27	\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit27.txt	265	129	4	cf9d3b7a
141	9bfd347	2007-7-2 14:26:25	\setting\map\map_info\jinguohuangling_2\trap\to_wusajusuo.txt	111	60	4	186f4877
142	9c532fd	2008-11-18 16:43:43	\setting\npc\droprate\renwudiaoluo\guagua.txt	99	98	4	22af2f7d
143	9e3f114	2008-3-25 0:45:12	\setting\map\map_info\jiulaodong_1\npc\area1.txt	1245	597	4	eb7623c2
144	9f36816	2008-12-4 10:1:43	\setting\battle\map\xiagu\qianyingeffect1.txt	134	86	4	995fee9f
145	a2a37f8	2008-3-25 0:45:14	\setting\map\map_info\jiulaodong_1\npc\area2.txt	1399	647	4	f696a4a5
146	a2a7e18	2009-1-4 10:6:8	\setting\map\map_info\zhanchang_xiagu_yangzhou\info.txt	2167	565	4	69bafc3c
147	a30ca36	2008-3-25 0:46:14	\setting\map\map_info\talin_1\npc\area1.txt	2603	1083	4	abed276c
148	a373d04	2009-4-22 17:52:55	\setting\boss\taskhailingwangmu\4183.ini	259	187	4	4540bcfd
149	a407c8d	2008-5-24 15:16:4	\setting\map\map_info\talin_2_zhp\trap\to_talin.txt	181	88	4	5416f5a9
150	a44e993	2008-5-24 15:11:37	\setting\map\map_info\jiulaofeng_zhjdzh\npc\zhaojiacike.txt	144	105	4	b97cc173
151	a5981b3	2008-3-18 9:16:55	\setting\map\map_info\bingxuemigong_1\npc\area4.txt	1144	542	4	340b708e
152	a756b15	2009-6-20 17:57:46	\setting\map\map_info\qinshihuangling_1\trap\trap_f2_2.txt	517	182	4	fc7a98ba
153	a86ae94	2008-12-15 18:33:40	\setting\map\map_info\taohuayuan\trap\to_fuliudong.txt	265	117	4	1ebe473e
154	a966b26	2008-11-11 18:16:34	\setting\npc\droprate\droprate003_shouling.txt	937	475	4	ba8939e1
155	ab00c08	2009-11-4 12:10:35	\setting\scriptvalue\vfactory.txt	66	66	0	5146b0ac
156	afb9a17	2008-7-8 10:3:22	\setting\map\map_info\tianlongsi\npc\caolianwuseng.txt	181	102	4	bc43037a
157	affea3c	2008-5-16 12:0:31	\setting\map\map_info\talin_2\npc\jimin.txt	1273	630	4	809b6836
158	b03934e	2008-5-9 14:14:56	\setting\boss\75boss_jin.ini	1726	589	4	693099b8
159	b0db21c	2008-5-24 15:17:18	\setting\map\map_info\yanziwu_1_cyx\trap\to_yanziwu.txt	139	76	4	df9e178c
160	b0e5158	2009-9-23 18:30:20	\setting\map\map_info\globalservermapshandong\trap\to_globalservermap.txt	923	364	4	aa87707a
161	b321c5a	2008-3-7 15:13:21	\setting\event\guessgame\npctrap\shiguzhen.txt	230	163	4	540ed740
162	b3bc88f	2008-3-24 19:12:18	\setting\item\001\extern\value\equip_starlevel_repair.txt	217	121	4	33d6dcb0
163	b3fed5f	2008-8-21 11:28:26	\setting\map\map_info\wulingshan\trap\to_balingxian.txt	349	135	4	8a5ce2c
164	b44731b	2008-8-29 16:55:23	\setting\map\map_info\funiushanjunying2\npc\yijunshaobing.txt	94	83	4	9c93d659
165	b4491c8	2008-8-21 11:28:25	\setting\map\map_info\shugangmijing\trap\to_daoxiangcun.txt	475	171	4	7e3b5e46
166	b6a36b0	2008-5-25 23:39:46	\setting\map\map_info\shenmibaoku\trap\to_fuzhijian.txt	481	167	4	5b76e555
167	b7178fe	2008-1-21 15:10:6	\setting\map\map_info\baihutangyiceng_bei_1\trap\to_exit.txt	455	158	4	b569193e
168	ba6d354	2007-6-9 12:56:0	\setting\map\map_info\tianlongsi_shinei\trap\to_exit21.txt	265	124	4	b4bfc25d
169	bbf4212	2008-5-24 15:10:26	\setting\map\map_info\jinguohuangling_2_txd\trap\to_jinguohuangling.txt	153	66	4	fcb4894f
170	bdc87d0	2009-3-31 17:14:36	\setting\map\map_info\mengguwangting\info.txt	1904	637	4	87119088
171	bfd62df	2007-9-6 17:6:20	\setting\map\map_info\changjianghegu\npc\area2.txt	3751	1572	4	5821d4ef
172	bffe736	2008-5-9 14:44:19	\setting\map\map_info\shamomigong\npc\guanbing.txt	419	248	4	2538b248
173	c02a8f8	2009-11-26 14:19:44	\setting\boss\shitufuben\2468.ini	192	144	4	588f9e46
174	c082ed3	2008-8-21 11:28:25	\setting\map\map_info\shugangmijing\npc\area3.txt	1343	569	4	c037ec33
175	c10243a	2007-6-9 12:56:0	\setting\map\map_info\tianlongsi_shinei\trap\to_exit20.txt	251	120	4	9601d8c3
176	c1b6e61	2008-10-10 21:16:59	\setting\event\manager\2008_event\gameopentest\rabbit3_dropitem.txt	123	114	4	c062569b
177	c2aa3a8	2009-3-16 11:59:4	\setting\boss\domain\95boss_tu.ini	801	323	4	ed0ca825
178	c2f043c	2009-4-22 17:52:55	\setting\boss\taskhailingwangmu\4181.ini	470	219	4	aebcce71
179	c34d28f	2008-1-28 19:48:13	\setting\map\map_info\tianwangbang_shinei\info.txt	229	175	4	92bb7e25
180	c37ec25	2007-9-29 16:4:44	\setting\map\map_info\zhanchang_xiagu_xiangyang\trap\qianying3_yewai.txt	587	240	4	3887bb3a
181	c43ca33	2007-8-23 18:59:56	\setting\map\map_info\fenglingdu\npc\area2.txt	2757	1188	4	f82386c6
182	c43e04b	2009-7-31 9:59:58	\setting\mission\wlls\league_type\singlefaction.txt	1586	812	4	f28b1648
183	c5a6fa3	2009-6-9 12:11:32	\setting\map\map_info\linanfu\trap\to_jinyuexuan.txt	125	71	4	549ffd1c
184	c728e44	2010-1-30 23:14:33	\setting\map\map_info\hl_guizu\trap\trap_in_stage_2.txt	363	137	4	9045c712
185	c833ef9	2008-3-5 17:59:4	\setting\map\map_info\xisuidao\trap\to_xisuidaoshandong.txt	265	126	4	449dba86
186	c84aba7	2008-4-21 14:22:3	\setting\map\map_info\jianxingfeng_shinei\npc\shixiangshouhuzhe.txt	587	291	4	c9c57020
187	c84caa2	2009-3-20 12:31:29	\setting\map\map_info\huangwu\trap\to_exit562.txt	139	72	4	6b02de7
188	c89e87a	2008-12-15 18:33:38	\setting\map\map_info\mengguwangting\trap\to_shamomigong.txt	307	113	4	b4e481ab
189	cc76972	2008-5-24 15:20:15	\setting\map\map_info\yuanshisenlin_2_jyt\npc\tianwangwushi.txt	55	54	4	c186aeec
190	ce55a40	2009-9-23 18:30:20	\setting\map\map_info\wulindahuizhunbeichang\info.txt	361	280	4	39f65ba7
191	d0cefaa	2007-9-5 10:19:35	\setting\map\map_info\linanfu_shinei\trap\to_exit9.txt	363	165	4	b894abd6
192	d16d63d	2008-10-27 15:47:42	\setting\map\map_info\mobeicaoyuan\npc\area4.txt	3583	1292	4	ca01afaa
193	d23c61a	2009-9-16 19:52:59	\setting\map\map_info\zhanchang_pingyuan_yangzhou\trap\daying1_houying1.txt	312	147	4	c1a543d7
194	d3e44ec	2008-8-21 11:28:18	\setting\map\map_info\jiayuguan\npc\area4.txt	1131	496	4	b1aff61b
195	d5b17f1	2009-6-20 17:57:48	\setting\map\map_info\qinshihuangling_2\npc\leader.txt	429	255	4	16da7ae7
196	d683a49	2008-5-22 16:16:23	\setting\battle\map\shangu\houying3.txt	57	48	4	9f28bbdc
197	d81ab1f	2008-5-25 23:39:45	\setting\kin\kingame\room06\fixindex.txt	107	107	0	11118466
198	da73f07	2009-1-4 9:52:10	\setting\map\map_info\jiangeshudao\info.txt	4303	1202	4	cfd71923
199	da9c772	2009-6-20 17:57:35	\setting\boss\120smallboss\shui.ini	583	266	4	e1055727
200	db835bc	2008-8-15 14:49:18	\setting\npc\droprate\shenmibaoku\xiaoguai_jingying.txt	406	217	4	71b3743d
201	dc3b7d9	2007-12-21 18:2:29	\setting\map\map_info\linanfu\trap\to_longquancun.txt	349	138	4	7c2d2ca
202	dfcce92	2009-1-9 21:27:11	\setting\event\manager\2009_event\springfestival\droprate001_nianshou.txt	349	202	4	a89583f5
203	e3d2f1d	2008-11-20 10:15:27	\setting\map\map_info\suoyunyuan_wanyan\trap\to_suoyunyuan.txt	139	76	4	df9e178c
204	e449e6e	2009-1-4 9:55:10	\setting\map\map_info\linanfu_zhuxi3\info.txt	438	317	4	ad82b6ea
205	e589dc8	2007-10-10 15:5:40	\setting\map\map_info\talin_2_shinei\npc\tianrenxizuo.txt	517	214	4	35a35e00
206	e5c4ad2	2008-3-18 9:16:53	\setting\map\map_info\bingxuemigong_1\npc\area3.txt	853	400	4	3d9bd837
207	e8d0676	2008-5-25 23:39:46	\setting\kin\kingame\room18\difnpctemplet.txt	60	57	4	c3dbf079
208	ea38242	2008-3-25 0:46:8	\setting\map\map_info\qingluodao\npc\tianwangdiziz.txt	335	184	4	af3134ac
209	ed105bb	2007-12-21 18:2:29	\setting\map\map_info\linanfu\trap\to_hantuozhou.txt	167	77	4	7aa08776
210	ee77cfb	2009-6-20 17:57:46	\setting\map\map_info\qinshihuangling_1\trap\trap_f2_1.txt	559	186	4	438b313b
211	eec0c16	2009-9-23 18:30:20	\setting\battle\map\wulindahui\shuaiqidian3.txt	35	35	0	3be24a83
212	eeddb9d	2008-8-22 9:30:26	\setting\npc\droprate\shenmibaoku\boss_xingbutou.txt	1005	387	4	51711903
213	ef7487e	2010-4-25 15:40:40	\setting\event\eventplantform\plantform_type.txt	409	258	4	83c55ad5
214	efe21f9	2009-1-4 10:21:30	\setting\map\map_info\baimanshan\npc\wugong1.txt	91	87	4	c16ba9af
215	efe4978	2008-3-17 20:55:49	\setting\map\map_info\yuanshisenlin_2\npc\area4.txt	223	130	4	7f7dbaca
216	f0f35a6	2008-5-9 14:14:56	\setting\map\map_info\wuxibieyuan\trap\to_exit536.txt	97	62	4	7aafb2c0
217	f1b77a0	2009-1-4 10:5:44	\setting\map\map_info\zhanchang_baomingdian_song_fengxiang\info.txt	741	338	4	3788911d
218	f1f9cc5	2009-9-16 19:52:59	\setting\map\map_info\zhanchang_pingyuan_fengxiang\trap\daying3_houying3.txt	474	182	4	a7ec2cb3
219	f290aea	2008-4-15 10:48:57	\setting\map\map_info\juyanze\trap\to_lubing.txt	97	54	4	429444ca
220	f37c429	2008-5-25 23:39:45	\setting\kin\kingame\room02\difnpctemplet.txt	60	57	4	a713b47d
