WareId	WareName	WareType	nGenre	nDetailType	nParticular	nLevel	nSeries	nCurrencyType	nUseType	nOrgPrice	nWareUseStyle	nDiscount	nRecommend	timeSaleStart	timeSaleClose	DiscountStart	DiscountClose	dwTimeout	nTimeFrameStartSale	nTimeFrameEndSale	Consumed
29	Không Bạch Tâm Thư (sơ)	102	20	1	463	1	1	0		20								43200			100
30	Không Bạch Tâm Thư (trung)	102	20	1	464	1	1	0		60								43200			100
31	Không Bạch Tâm Thư (cao)	102	20	1	465	1	1	0		180								43200			100
32	Kim Tê (cấp 4)	102	18	1	2	4	1	0		2900								43200			0
33	Kim Tê (cấp 3)	102	18	1	2	3	1	0		300			1					43200			0
35	Lệnh bài Tẩy Tủy Đảo	102	18	1	79	1	1	0		200								43200			100
36	Mã bài (Đại Uyển Mã)	102	1	12	15	2	1	0	1	120								43200			0
37	Mã bài (Ô Truy)	102	1	12	16	2	1	0	1	120								43200			0
38	Chứng nhận di dân	102	18	1	117	1	1	0		200								43200			0
40	Tinh Khí Tán (500)	102	18	1	89	1	1	0		40			1					43200			0
41	Tinh Khí Tán (1000)	102	18	1	89	2	1	0		120			1					43200			0
42	Tinh Khí Tán (1500)	102	18	1	89	3	1	0		215			1					43200			0
43	Hoạt Khí Tán (500)	102	18	1	90	1	1	0		40			1					43200			0
44	Hoạt Khí Tán (1000)	102	18	1	90	2	1	0		120			1					43200			0
45	Hoạt Khí Tán (1500)	102	18	1	90	3	1	0		215			1					43200			0
46	Thiên Nhãn Phù	102	18	1	206	1	1	0		500								43200			0
47	Túi phúc lợi tinh khí (500)	102	18	1	207	1	1	0		80								43200			0
48	Túi phúc lợi hoạt khí (500)	102	18	1	208	1	1	0		80								43200			0
49	Lệnh bài chúc phúc (sơ)	103	18	1	212	1	1	0		1600								43200			100
50	Lệnh bài chúc phúc (trung)	103	18	1	212	2	1	0		12650								43200			100
51	Huyền Tinh vô hạ (cấp 9)	101	18	1	1	9	1	0		28800								43200			0
52	Đặc Hiệu Bạch Câu Hoàn	102	18	1	71	4	1	0		1480								43200	53	100000	100
53	Cửu Chuyển Tục Mệnh Hoàn (tự động sử dụng)	102	18	1	218	1	1	0		50	2							43200			100
54	Dây cương thần bí	102	18	1	237	1	0	0	1	820		80						43200	67	100000	100
55	Võ Lâm Mật Tịch (trung)	102	18	1	191	2	0	0		4500		80						43200	67	100000	100
56	Tẩy Tủy Kinh (trung)	102	18	1	192	2	0	0		4500		80						43200	67	100000	100
57	Lệnh Bài Nghĩa Quân	103	18	1	84	1	0	0		35								43200			100
58	Lệnh bài thi đấu môn phái (cao)	103	18	1	81	3	0	0		500								43200			100
59	Lệnh Bài Bạch Hổ Đường (cao)	103	18	1	111	3	0	0		120								43200			100
60	Lệnh Bài Gia Tộc (cao)	103	18	1	110	3	0	0		500								43200			100
61	Lệnh bài chiến trường (Dương Châu)	103	18	1	112	1	0	0		45								43200			100
62	Lệnh bài chiến trường (Phượng Tường)	103	18	1	112	2	0	0		85								43200			100
63	Câu Hồn Ngọc (cao)	102	18	1	146	3	0	0		12000								43200	81	100000	0
64	Lệnh bài Uy danh giang hồ	103	18	1	236	1	0	0		1000								43200			100
65	Dị Mã Phù	102	18	1	238	1	0	0		288								43200			100
66	Rương Hồn Thạch (100 cái)	101	18	1	244	1	0	0		800			1					43200			0
67	Rương Hồn Thạch (1000 cái)	101	18	1	244	2	0	0		7800			1					43200			0
68	Bản đồ bí cảnh	102	18	1	251	1	0	0		1400								43200			16
69	Túi kỷ niệm 20 năm	102	18	1	256	1	0	0		500								43200			100
70	Lệnh bài chúc phúc (cao)	103	18	1	212	3	1	0		58800								43200			100
71	Hộp giáng sinh	102	18	1	270	1	1	0		680								43200			0
72	Kẹo giáng sinh	102	18	1	271	1	1	0		99								43200			0
73	Thỏi bạc bang hội (tiểu)	102	18	1	284	1	1	0		1500								43200			100
74	Thỏi bạc bang hội (đại)	102	18	1	284	2	1	0		12500								43200			100
75	Lệnh bài phần thưởng Bang hội	102	18	1	340	1	0	0		5000								43200			100
76	Hoa hồng	102	18	1	373	1	0	0		160								43200			100
77	Dạ Minh Châu-Rương	102	18	1	382	1	0	0		12000			1					43200	180	100000	0
78	Giỏ hoa hồng	102	18	1	383	1	0	0		15840								43200			0
79	Vạn Vật Quy Nguyên Đơn	102	18	1	384	1	0	0		7200			1					43200			100
80	Linh Chi Tục Mệnh Hoàn-Rương	102	18	1	241	1	0	0		600			1					43200			0
81	Tuyết Sam Phản Khí Hoàn-Rương	102	18	1	242	1	0	0		600			1					43200			0
82	Diêu Trì Đại Hoàn Đơn-Rương	102	18	1	243	1	0	0		600			1					43200			0
83	Túi lương nghĩa quân	103	18	1	341	1	0	0		120								43200	74	100000	100
84	Liên Đấu Hắc Thiết Bài	103	18	1	215	1	0	0		2000								43200	180	100000	100
85	Liên Đấu Hoàng Kim Bài	103	18	1	215	4	0	0		10000								43200	180	100000	100
86	Bách Bộ Xuyên Dương Cung	103	18	1	263	1	0	0		150								43200	43	100000	100
87	Tần Lăng-Mạc Kim Phù	103	18	1	366	1	0	0		200								43200	187	100000	100
88	Bánh ít bát bảo	102	18	1	326	2	0	0		8000								43200	87	100000	100
89	Bánh ít thập cẩm	102	18	1	326	3	0	0		8000								43200	87	100000	100
90	Trứng Thịnh Hạ	102	18	1	358	1	0	0		200								43200	20	100000	100
91	Bách Bộ Xuyên Dương Cung (x50)	103	18	1	376	1	0	0		7500								43200	50	100000	100
92	Tần Lăng-Mạc Kim Phù (x50)	103	18	1	375	1	0	0		10000								43200	187	100000	100
93	Rương Đại Mã Tam	102	18	1	388	1	0	0		831								43200			
94	Rương cổ mộc	102	18	1	389	1	0	0		500								43200			
95	Bách Luyện Hoàn	102	18	1	468	1	0	0		780			1					43200			100
96	Tiếp Viện Nghĩa Quân (x50)	103	18	1	469	1	0	0		6000								43200	74	100000	100
97	Lệnh Bài Nghĩa Quân (x50)	103	18	1	470	1	0	0		400								43200			100
98	Thẻ đoàn viên	102	18	1	402	1	0	0		100								1440			100
99	Anh Hùng Thiếp	102	18	1	471	1	0	0		500								43200			100
100	Bổ Tu Lệnh	102	18	1	479	1	0	0		10000								43200	87	100000	100
101	Bộ bản đồ Bí Cảnh	102	18	1	489	1	0	0		2488			1					43200			
102	Bộ bản đồ Bí Cảnh (lớn)	102	18	1	489	2	0	0		4488			1					43200			
103	Bạc khóa chuyên dùng cho hoạt động liên server	102	18	1	490	1	0	0		500			1					43200			100
104	Tu Luyện Đơn	102	18	1	258	1	0	0		1800			1					43200			100
105	Tần Lăng-Hòa Thị Bích	103	18	1	377	1	0	0		10000								43200	176	100000	100
106	Nguyệt Ảnh Nguyên Thạch	102	22	1	91	2	0	0		100								43200	96	100000	
109	Nguyệt Ảnh Nguyên Thạch-Rương	102	18	1	530	1	0	0		10000								43200	96	100000	
107	Bùa sửa phòng cụ cường 15	102	18	3	1	15	0	0		1000								43200	96	100000	0
108	Bùa sửa trang sức cường 15	102	18	3	2	15	0	0		1500								43200	96	100000	0
110	Du Long Danh Vọng Lệnh (vé)	102	18	1	534	1	0	0		20000								43200	96	100000	100
111	Quà Tết	102	18	1	551	1	0	0		400								43200			100
112	Võ Lâm Cao Thủ Lệnh (sơ) (Kim)	103	18	1	219	1	0	0		1200								43200			100
113	Võ Lâm Cao Thủ Lệnh (sơ) (Mộc)	103	18	1	222	1	0	0		1200								43200			100
114	Võ Lâm Cao Thủ Lệnh (sơ) (Thủy)	103	18	1	225	1	0	0		1200								43200			100
115	Võ Lâm Cao Thủ Lệnh (sơ) (Hỏa)	103	18	1	228	1	0	0		1200								43200			100
116	Võ Lâm Cao Thủ Lệnh (sơ) (Thổ)	103	18	1	231	1	0	0		1200								43200			100
148	Đồng hành Tẩy Tủy Kinh (đặc biệt)	103	18	1	563	1	0	0		300000											
149	Đồng hành Tẩy Tủy Kinh (thường)	103	18	1	562	1	0	0		100000											
207	Chìa khóa đồng	102	18	1	77	1	1	0		30								43200			100
208	Chìa khóa bạc	102	18	1	82	1	1	0		60								43200			100
209	Chìa khóa vàng	102	18	1	187	1	1	0		100								43200			100
210	Ốc biển truyền thanh (tiểu)	102	18	1	113	1	1	0		50		20	1					43200			100
211	Ốc biển truyền thanh (trung)	102	18	1	113	2	1	0		450								43200			100
212	Ốc biển truyền thanh (đại)	102	18	1	113	3	1	0		2000								43200			100
213	[Mặt nạ] Ông già Noel	102	1	13	44	1	0	0		5000								43200			
214	[Mặt nạ] Thiếu nữ Noel	102	1	13	45	1	0	0		5000								43200			
215	Huân Chương Huy Hoàng	102	18	1	921	1	0	0		125								43200			
216	Thiên lý truyền âm	102	18	1	924	1	0	0		499								43200			
217	Thiên lý truyền âm (lớn)	102	18	1	925	1	0	0		2499								43200			
219	[Mặt nạ] Phương Hành Giác	102	1	13	48	1	0	0		5000								43200			
220	[Mặt nạ] Khiên Vân Thủ	102	1	13	49	1	0	0		5000								43200			
221	Lệnh bài mở rộng rương Lv2	102	18	1	216	2	0	0		7900								43200			
222	Dây cương thần bí [ngựa cấp 90]	102	18	1	638	1	0	0		820								43200			
223	Mã bài cấp 120	102	1	12	33	4	0	0		6888								43200			
224	Túi quà thăng cấp	102	18	1	639	1	0	0		2000								43200		30	100
225	Túi quà cường hóa	102	18	1	640	1	0	0		2500								43200			100
226	Túi quà danh vọng	102	18	1	641	1	0	0		6880								43200		30	100
227	Than Đá	102	18	1	951	1	0	0		70								43200			
228	Giống cây	102	18	1	953	1	0	0		30								43200			
229	Huyền Chân Đơn	102	18	1	956	1	0	0		12800								43200			
230	Rương Than đá (tiểu)	102	18	1	961	1	0	0		700								43200			
231	Rương Than đá (đại)	102	18	1	961	2	0	0		7000								43200			
232	Giỏ Hoa Tình (10)	102	18	1	606	1	0	0		500								43200			0
233	Giỏ Hoa Tình (100)	102	18	1	605	1	0	0		5000								43200			0
234	Giỏ Hoa Tình (1000)	102	18	1	607	1	0	0		50000								43200			0
235	Anh Hùng Lệnh	103	18	1	667	1	0	0		21888								43200			100
236	Túi Phúc Huyền Võ	102	18	1	618	1	0	0		200								43200			
237	Túi Phúc Bạch Hổ	102	18	1	619	1	0	0		200								43200			
238	Tử Chân Đơn	102	18	1	956	2	0	0		2500								43200			
239	Huyết Chân Đơn	102	18	1	956	3	0	0		6500								43200			
240	Mã bài (Xích Thố)	102	1	12	34	4	0	0		3000								43200			
241	Mã bài (Bôn Tiêu)	102	1	12	35	4	0	0		6500								43200			
242	Thiên sơn hàn tửu	102	18	1	984	1	0	0		4800								43200			
243	Kỷ niệm chương Thịnh Hạ 2010	102	18	1	669	1	0	0		7000								43200			100
244	Hoàng Kim Tinh Hoa (Cấp 2)	102	18	1	672	1	0	0		100								43200			
245	Tần Lăng-Hòa Thị Bích	102	18	1	673	1	0	0		8000								43200			100
246	Tương Tư Thạch	102	18	1	974	1	0	0		59								43200			
247	Không Bạch Tâm Thư	102	18	1	668	1	0	0		20								43200			
248	Ngọc Trúc Mai Hoa	102	19	3	1	7	0	0		59								43200			
249	Trứng gà	102	18	1	681	1	0	0		200								43200			
250	Túi thức ăn	102	18	1	684	1	0	0		100								43200			
251	Hạt giống	102	18	1	686	1	0	0		30								43200			
252	Vàng thô	102	18	1	1029	1	0	0		150								43200			
253	Quả xí muội (sơ)	102	18	1	1035	1	0	0		150								43200			
254	Quả xí muội (trung)	102	18	1	1035	2	0	0		150								43200			
255	Quả xí muội (cao)	102	18	1	1035	3	0	0		150								43200			
256	Hoa hồng	102	18	1	1037	1	0	0		100								43200			0
257	Kim Châu Ngọc Thúy	102	18	1	1023	1	0	0		100								43200			0
258	Giỏ hoa hồng	102	18	1	1042	1	0	0		10000								43200			0
259	Túi Kim Châu Ngọc Thúy	102	18	1	1041	1	0	0		10000								43200			0
260	Bút lông đặc biệt	102	18	1	1054	1	0	0		100								43200			0
261	Bạch Hổ Đường Truyền Lệnh	102	18	1	1060	1	0	0		800								43200			0
262	Bạch Ngọc 	102	18	1	717	1	0	0		7500								43200			100
263	Que Diêm	102	18	1	1089	1	0	0		50								43200			0
264	Bình rượu	102	18	1	1095	1	0	0		50								43200			0
265	Rượu đào thượng hạng	102	18	1	1098	1	0	0		200								43200			0
267	Thịt Ngỗng	102	18	1	1079	1	0	0		150								43200			0
268	Hàn Vũ Hồn Châu	102	18	1	510	1	0	0		100								43200	29	100000	100
269	Nồi bánh	102	18	1	1121	1	0	0		100								43200			100
270	Que Diêm	102	18	1	1125	1	0	0		50								43200			100
271	Mâm vàng	102	18	1	1124	1	0	0		150								43200			100
272	Huyền Tinh cấp 7	102	18	1	1155	1	0	0		2366								43200			100
273	Huyền Tinh cấp 7	102	18	1	1155	2	0	0		1690								43200			100
274	Rương Hồn Thạch (100)	102	18	1	1156	1	0	0		1120								43200			100
275	Rương Hồn Thạch (100)	102	18	1	1156	2	0	0		800								43200			100
276	Rương Hồn Thạch (1000)	102	18	1	1157	1	0	0		10920								43200			100
277	Rương Hồn Thạch (1000)	102	18	1	1157	2	0	0		7800								43200			100
278	Túi sự kiện	102	18	1	1137	1	0	0		200								43200			100
279	Kỷ niệm cuộc thi Nữ anh hùng [24 ô]	102	18	1	724	1	0	0		50000								43200			100
280	Tuyết Hồn	102	1	12	41	4	0	0		9900								43200			100
281	Tinh Khí Tán-Rương	102	18	1	1172	1	0	0		240								43200			100
282	Hoạt Khí Tán-Rương	102	18	1	1173	1	0	0		240								43200			100
283	Bổ Tu Lệnh-Rương	102	18	1	1174	1	0	0		3000								43200			100
284	Ngựa Xích Thố-Rương	102	18	1	1175	1	0	0		1200								43200			100
285	Tuyết Hồn Lệnh	102	18	1	727	1	0	0		6000								43200			100
286	Hạt hi vọng	102	18	1	1197	1	0	0		100								43200	29	100000	100
287	Rương chứa đồ 4	102	18	1	730	1	0	0		50000								43200			100
301	Bạch Câu Hoàn	102	18	1	71	1	1	2		36								43200			
302	Đại Bạch Câu Hoàn	102	18	1	71	2	1	2		180								43200			
303	Cường Hiệu Bạch Câu Hoàn	102	18	1	71	3	1	2		540								43200			
305	Huyền Tinh Cấp 1	101	18	1	1	1	1	2		1								43200			
306	Huyền Tinh Cấp 3	101	18	1	1	3	1	2		10								43200			
307	Huyền Tinh Cấp 5	101	18	1	1	5	1	2		130								43200			
308	Huyền Tinh thường (cấp 7)	101	18	1	1	7	1	2		1690								43200			
309	Vô Hạn Truyền Tống Phù (1 tuần)	102	18	1	195	1	1	2	1	400			1					10080			
310	Vô Hạn Truyền Tống Phù (1 tháng)	102	18	1	195	1	1	2	1	1500								43200			
315	Vô Hạn Hồi Thành Phù (1 tuần)	102	18	1	23	1	1	2	1	200								10080			
316	Vô Hạn Hồi Thành Phù (1 tháng)	102	18	1	23	1	1	2	1	750								43200			
319	Càn Khôn Phù (10)	102	18	1	85	1	1	2		200			1					43200			
322	Cửu Chuyển Tục Mệnh Hoàn	102	18	1	24	1	1	2		40			1					43200			
325	Kim Tê (cấp 4)	102	18	1	2	4	1	2		2900								43200			
326	Kim Tê (cấp 3)	102	18	1	2	3	1	2		300			1					43200			
328	Lệnh bài Tẩy Tủy Đảo	102	18	1	79	1	1	2		200								43200			
329	Mã bài (Đại Uyển Mã)	102	1	12	15	2	1	2	1	120								43200			
330	Mã bài (Ô Truy)	102	1	12	16	2	1	2	1	120								43200			
331	Lệnh Bài Quân Doanh Vô Hạn (1 tháng)	102	20	1	607	1	1	2		200								43200			
332	Lệnh bài chúc phúc (sơ)	103	18	1	212	1	1	2		1880								43200			
333	Lệnh bài chúc phúc (trung)	103	18	1	212	2	1	2		14880								43200			
334	Huyền Tinh vô hạ (cấp 9)	101	18	1	1	9	1	2		28800								43200	53	100000	
335	Đặc Hiệu Bạch Câu Hoàn	102	18	1	71	4	1	2		1480								43200	53	100000	
336	Dây cương thần bí	102	18	1	237	1	0	2	1	3000		80						43200	67	100000	
337	Võ Lâm Mật Tịch (trung)	102	18	1	191	2	0	2		4500		80						43200	67	100000	
338	Tẩy Tủy Kinh (trung)	102	18	1	192	2	0	2		4500		80						43200	67	100000	
339	Lệnh Bài Nghĩa Quân	103	18	1	84	1	0	2		8								43200			
340	Lệnh bài thi đấu môn phái (cao)	103	18	1	81	3	0	2		300								43200			
341	Lệnh Bài Bạch Hổ Đường (cao)	103	18	1	111	3	0	2		100								43200			
342	Lệnh Bài Gia Tộc (cao)	103	18	1	110	3	0	2		200								43200			
343	Lệnh bài chiến trường (Dương Châu)	103	18	1	112	1	0	2		20								43200			
344	Lệnh bài chiến trường (Phượng Tường)	103	18	1	112	2	0	2		20								43200			
345	Dị Mã Phù	102	18	1	238	1	0	2		288								43200			
346	Rương Hồn Thạch (100 cái)	101	18	1	244	1	0	2		800			1					43200			
347	Rương Hồn Thạch (1000 cái)	101	18	1	244	2	0	2		7800			1					43200			
348	Lệnh bài chúc phúc (cao)	103	18	1	212	3	1	2		58800								43200			
349	Thỏi bạc Tây Sơn	102	18	1	260	1	1	0		500	2							43200			100
350	Thỏi bạc Tây Sơn (đại)	102	18	1	260	2	1	0		5000	2							43200			100
351	Thỏi vàng Tây Sơn	102	18	1	261	1	1	0		500	2							43200			100
352	Thỏi vàng Tây Sơn (đại)	102	18	1	261	2	1	0		5000	2							43200			100
353	Chìa khóa đồng	102	18	1	77	1	1	2		30								43200			
354	Chìa khóa bạc	102	18	1	82	1	1	2		60								43200			
355	Chìa khóa vàng	102	18	1	187	1	1	2		100								43200			
356	Ốc biển truyền thanh (tiểu)	102	18	1	113	1	1	2		50			1					43200			
357	Ốc biển truyền thanh (trung)	102	18	1	113	2	1	2		450								43200			
358	Ốc biển truyền thanh (đại)	102	18	1	113	3	1	2		2000								43200			
359	Đại Bạch Câu Hoàn giảm 70%	102	18	1	348	1	1	0		54								43200			100
360	Càn Khôn Phù giảm 70%	102	18	1	349	1	1	0		60								43200			100
361	Huyền Tinh 7 giảm 70%	102	18	1	350	7	1	0		672								43200			100
362	Huyền Tinh 9 giảm 70%	102	18	1	350	9	1	0		8640								43200			100
363	Dạ Minh Châu-Rương	102	18	1	382	1	0	2		12000			1					43200	180	100000	
364	Vạn Vật Quy Nguyên Đơn	102	18	1	384	1	0	2		7200			1					43200			
365	Linh Chi Tục Mệnh Hoàn-Rương	102	18	1	241	1	0	2		600			1					43200			
366	Tuyết Sam Phản Khí Hoàn-Rương	102	18	1	242	1	0	2		600			1					43200			
367	Diêu Trì Đại Hoàn Đơn-Rương	102	18	1	243	1	0	2		600			1					43200			
368	Túi lương nghĩa quân	103	18	1	341	1	0	2		120								43200	74	100000	
369	Liên Đấu Hắc Thiết Bài	103	18	1	215	1	0	2		2000								43200	180	100000	
370	Liên Đấu Hoàng Kim Bài	103	18	1	215	4	0	2		10000								43200	180	100000	
371	Bách Bộ Xuyên Dương Cung	103	18	1	263	1	0	2		150								43200	43	100000	
372	Tần Lăng-Mạc Kim Phù	103	18	1	366	1	0	2		200								43200	187	100000	
373	Võ Lâm Cao Thủ Lệnh (Kim)	103	18	1	221	3	0	0		500								43200			100
374	Võ Lâm Cao Thủ Lệnh (Mộc)	103	18	1	224	3	0	0		500								43200			100
375	Võ Lâm Cao Thủ Lệnh (Thủy)	103	18	1	227	3	0	0		500								43200			100
376	Võ Lâm Cao Thủ Lệnh (Hỏa)	103	18	1	230	3	0	0		500								43200			100
377	Võ Lâm Cao Thủ Lệnh (Thổ)	103	18	1	233	3	0	0		500								43200			100
378	Bánh ít bát bảo	102	18	1	326	2	0	2		8000								43200	87	100000	
379	Bánh ít thập cẩm	102	18	1	326	3	0	2		8000								43200	87	100000	
380	Tần Lăng-Hòa Thị Bích	103	18	1	356	1	0	0		8000								43200			100
381	Bách Bộ Xuyên Dương Cung (x50)	103	18	1	376	1	0	2		7500								43200	43	100000	
382	Tần Lăng-Mạc Kim Phù (x50)	103	18	1	375	1	0	2		10000								43200	187	100000	
383	Thỏi bạc bang hội (-50%) (lớn)	102	18	1	399	2	1	0		5000								43200			100
384	Bách Luyện Hoàn	102	18	1	468	1	0	2		780			1					43200			
385	Tiếp Viện Nghĩa Quân (x50)	103	18	1	469	1	0	2		6000								43200	74	100000	
386	Lệnh Bài Nghĩa Quân (x50)	103	18	1	470	1	0	2		400								43200			
387	Bổ Tu Lệnh	102	18	1	479	1	0	2		10000								43200	87	100000	
388	Tu Luyện Đơn	102	18	1	258	1	0	2		1800			1					43200			100
389	Băng Cơ Ngọc Liên	102	18	1	648	1	0	0		30000								43200			100
390	Danh Túc Tâm Đắc	102	18	1	649	1	0	0		99								43200			100
391	Túi quà Tu Luyện Đơn	102	18	1	650	1	0	0		1800								43200			33
392	Túi quà Lệnh bài chúc phúc	102	18	1	651	1	0	0		58800								43200			50
393	Túi quà Huyền Tinh cấp 7	101	18	1	652	1	0	0		2250								43200			50
394	Túi quà Huyền Tinh cấp 9	101	18	1	653	1	0	0		28900								43200			50
395	Túi quà rương Hồn Thạch nhỏ	101	18	1	654	1	0	0		850								43200			0
396	Túi quà rương Hồn Thạch lớn	101	18	1	655	1	0	0		8500								43200			0
397	Túi quà Bạch Câu Hoàn đặc biệt	102	18	1	656	1	0	0		7400								43200			50
398	Tuyết Linh Thạch	102	18	1	962	1	0	0		99								43200			100
399	Bạc khóa quân đoàn (1000 đồng)	102	18	1	964	1	0	0		1000	2							43200			100
400	Bạc khóa quân đoàn (10000 đồng)	102	18	1	965	1	0	0		10000	2							43200			100
401	Tuyết Linh Thạch	102	18	1	962	1	0	2		99								43200			100
402	Kênh phân phối nhiệm vụ tiêu hao vật phẩm	102	18	1	993	1	0	0		1	2							43200			100
403	Kênh phân phối nhiệm vụ tiêu hao vật phẩm	102	18	1	993	2	0	0		10	2							43200			100
404	Kênh phân phối nhiệm vụ tiêu hao vật phẩm	102	18	1	993	3	0	0		100	2							43200			100
405	Kênh phân phối nhiệm vụ tiêu hao vật phẩm	102	18	1	993	4	0	0		1000	2							43200			100
406	Lệnh bài mở rộng rương Lv2	102	18	1	216	2	0	2		7900								43200			100
407	Túi Phúc Tinh Long	102	18	1	1048	1	0	0		200								43200			
408	Túi Phúc Lệnh Bài	102	18	1	1049	1	0	0		200								43200			
409	Túi Phúc Kim Ngân	102	18	1	1050	1	0	0		200								43200			
410	Túi Phúc Hoa Hạ	102	18	1	1051	1	0	0		200								43200			
411	Rương Mật Tịch (cao)	102	18	1	1052	1	0	0		200								43200			
412	Túi Phúc Huyền Thiên	102	18	1	1092	1	0	0		200								43200			
413	Túi Phúc Bảo Ngân	102	18	1	1093	1	0	0		200								43200			
414	Túi Phúc Dương Châu	102	18	1	1094	1	0	0		200								43200			
415	Lệnh bài điểm nhiệm vụ kinh nghiệm (5 điểm)	102	18	1	1117	1	0	0		5								43200			100
416	Lệnh bài điểm nhiệm vụ kinh nghiệm (10 điểm)	102	18	1	1117	2	0	0		10								43200			100
417	Lệnh bài điểm nhiệm vụ kinh nghiệm (100 điểm)	102	18	1	1117	3	0	0		100								43200			100
418	Túi Phúc Năm Mới	102	18	1	1118	3	0	0		100								43200			
419	Túi Phúc Cửu Long	102	18	1	1118	4	0	0		200								43200			
420	Túi Phúc Thần Châu	102	18	1	1118	5	0	0		200								43200			
421	Túi Phúc Thiên Điệp	102	18	1	1170	1	0	0		200								43200			
422	Túi Phúc Đồng Hành	102	18	1	1170	2	0	0		200								43200			
423	Túi Phúc Như Ý	102	18	1	1170	3	0	0		200								43200			
424	Lá dong	102	18	1	1212	1	0	0		150								43200			100
425	Túi Phúc Lăng Vân	102	18	1	1249	8	0	0		200								43200			
426	Túi Phúc Cô Tinh	102	18	1	1249	9	0	0		200								43200			
427	Túi Phúc Chiến Thần	102	18	1	1249	10	0	0		200								43200			
428	Túi Phúc Võ Thần	102	18	1	1249	11	0	0		200								43200			
429	Lương khô	102	18	1	1263	1	0	0		100								43200			100
430	Cán cờ	102	18	1	1269	1	0	0		100								43200			100
431	Bách Bộ Xuyên Dương Cung x50	102	18	1	1280	1	0	0		5000								43200			100
432	Tần Lăng-Mạc Kim Phù x50	102	18	1	1279	1	0	0		5000								43200			100
433	Tần Lăng-Hòa Thị Bích	102	18	1	1278	1	0	0		7000								43200			100
434	Lệnh bài tam tu	102	18	1	1274	1	0	0		100								43200			100
435	Túi phúc Tuyết Hồn (vị trí)	102	18	1	1283	1	0	0		200								43200			
436	Túi Huyền Tinh cấp 5	101	18	1	1287	1	0	0		180								43200			100
437	Túi Huyền Tinh cấp 5 (lớn)	101	18	1	1288	1	0	0		1800								43200			100
438	Túi Huyền Tinh cấp 7 (lớn)	101	18	1	1289	1	0	0		22500								43200			100
441	Túi phúc mừng tròn năm (vị trí)	102	18	1	1298	2	0	0		200								43200			
442	Bách Bảo Cẩm Nang 	102	18	1	1303	1	0	0		150								43200			
443	Lá xanh	102	18	1	1330	1	0	0		100								43200			100
444	Rương Linh Chi Tục Mệnh Hoàn	102	18	1	241	1	0	0		600			1	2009-7-7 0:00	2019-7-24 0:00			43200			0
445	Rương Tuyết Sam Phản Khí Hoàn	102	18	1	242	1	0	0		600			1	2009-7-7 0:00	2019-7-24 0:00			43200			0
446	Rương Diêu Trì Đại Hoàn Đơn	102	18	1	243	1	0	0		600			1	2009-7-7 0:00	2019-7-24 0:00			43200			0
20000	Nồi bánh	102	18	1	20005	1	0	0		100								43200			100
20001	Sồ Phượng Lệnh	102	18	1	20013	1	0	0		4320								43200			100
20002	Tiềm Long Lệnh	102	18	1	20013	2	0	0		10800								43200			100
20003	Chí Tôn Lệnh	102	18	1	20013	3	0	0		27771								43200			100
20004	Vô Song Lệnh	102	18	1	20013	4	0	0		77143								43200			100
20005	Túi phúc cường hóa	102	18	1	20014	1	0	0		2548								43200			100
20006	Túi phúc tiền điểm	102	18	1	20014	2	0	0		1648								43200			100
20007	Túi kinh nghiệm	102	18	1	20014	3	0	0		2100								43200			100
