Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	UnLockInterval
[Mặt Nạ] Bảo Quả Tử		1	1	13	16	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	3000	0			2	0	mask	0	0		4173	4173																																																																																																																																
[Mặt Nạ] Nhị A		1	1	13	17	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	3000	0			2	0	mask	0	0		4174	4174																																																																																																																																
[Mặt Nạ] Tân Niên Hiệp Khách		1	1	13	18	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		3620	3620																																																																																																																																
[Mặt Nạ] Tân Niên Hiệp Nữ		1	1	13	19	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		3621	3621																																																																																																																																
[Mặt Nạ] Thẩm Tiểu Dương		1	1	13	20	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	3000	0			2	0	mask	0	0		4485	4485																																																																																																																																
[Mặt Nạ] Trứng vịt		1	1	13	21	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	3000	0			2	0	mask	0	0		4486	4486																																																																																																																																
[Mặt Nạ] Tam Bạng Tử		1	1	13	22	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	3000	0			2	0	mask	0	0		4278	4278																																																																																																																																
[Mặt Nạ] Tô Tiểu Tiểu		1	1	13	23	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	3000	0			2	0	mask	0	0		4279	4279																																																																																																																																
[Mặt Nạ] Tần Thủy Hoàng		1	1	13	24	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=gold>Mặt Nạ thần bí được tìm thấy trong Tần Lăng, đồn rằng đeo vào có thể hóa thân thành Tần Thủy Hoàng.<color>		0	20000	20000			3	0	mask	0	0		2450	2450																																																																																																																																
[Mặt Nạ] Khuynh Thành		1	1	13	25	1	\image\item\equip\mask\mianju_putong.spr		35	<color=green>Dành riêng cho mỹ nữ!<color>		0	100000	100000			3	0	mask	0	0		3680	3680																																																																																																																																
[Mặt Nạ] Khuynh Quốc		1	1	13	26	1	\image\item\equip\mask\mianju_putong.spr		35	<color=green>Dành riêng cho mỹ nữ!<color>		0	100000	100000			3	0	mask	0	0		3682	3682																																																																																																																																
[Mặt Nạ] Khuynh Thế		1	1	13	27	1	\image\item\equip\mask\mianju_putong.spr		35	<color=green>Dành riêng cho mỹ nữ!<color>		0	100000	100000			3	0	mask	0	0		3681	3681																																																																																																																																
[Mặt Nạ] Mục Đồng		1	1	13	28	1	\image\item\equip\mask\mianju_putong.spr		35	<color=green>Mục Đồng cưỡi trâu!<color>		0	100	100			3	0	mask	0	0		4483	4483																																																																																																																																
[Mặt Nạ] Tĩnh ca ca		1	1	13	29	1	\image\item\equip\mask\mianju_putong.spr		35	<color=green>Ca ca biết bắn đại điêu!<color>		0	0	50000			2	0	mask	0	0		3693	3693																																																																																																																																
[Mặt Nạ] Dung muội muội		1	1	13	30	1	\image\item\equip\mask\mianju_putong.spr		35	<color=green>Muội muội biết làm món gà!<color>		0	0	50000			2	0	mask	0	0		3694	3694																																																																																																																																
[Mặt Nạ] Hổ		1	1	13	31	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	3000	0			2	0	mask	0	0		4451	4451																																																																																																																																
[Mặt Nạ] Yến Yến		1	1	13	32	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	3000	0			2	0	mask	0	0		4452	4452																																																																																																																																
[Mặt Nạ] Xi Vưu		1	1	13	33	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=green>Nam nhân dũng mãnh đầy sát khí!<color>		0	0	50000			2	0	mask	0	0		3724	3724																																																																																																																																
[Mặt Nạ] Tử Tô		1	1	13	34	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=green>Giai nhân yêu kiều!<color>		0	0	50000			2	0	mask	0	0		3725	3725																																																																																																																																
[Mặt Nạ đẹp] Lam Nhan		1	1	13	35	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=gold>Lam Nhan<color>		0	0	0			1	0	mask	0	0		6543	6543																																																																																																																																
[Mặt Nạ đẹp] Hồng Nhan		1	1	13	36	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=gold>Hồng Nhan<color>		0	0	0			1	0	mask	0	0		6544	6544																																																																																																																																
[Mặt Nạ] Lam Nhan		1	1	13	37	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=gold>Lam Nhan<color>		0	0	0			1	0	mask	0	0		6545	6545																																																																																																																																
[Mặt Nạ] Hồng Nhan		1	1	13	38	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=gold>Hồng Nhan<color>		0	0	0			1	0	mask	0	0		6546	6546																																																																																																																																
[Mặt Nạ] Huynh đệ		1	1	13	39	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=green>Kết nghĩa huynh đệ<color>		0	0	0			1	0	mask	0	0		6548	6548																																																																																																																																
[Mặt Nạ] Tỷ muội		1	1	13	40	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=green>Kết nghĩa kim lan <color>		0	0	0			1	0	mask	0	0		6549	6549																																																																																																																																
[Mặt Nạ] Chủ Hôn		1	1	13	41	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=green>Chủ Hôn<color>		0	0	0			1	0	mask	0	0		6550	6550																																																																																																																																
[Mặt Nạ] Ông già Noel		1	1	13	42	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			3	0	mask	0	0		3468	3468																																																																																																																																
[Mặt Nạ] Thiếu nữ Noel		1	1	13	43	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			3	0	mask	0	0		3467	3467																																																																																																																																
[Mặt Nạ] Ông già Noel		1	1	13	44	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			3	0	mask	0	0		3468	3468																																																																																																																																
[Mặt Nạ] Thiếu nữ Noel		1	1	13	45	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			3	0	mask	0	0		3467	3467																																																																																																																																
[Mặt Nạ] Phương Hành Giác		1	1	13	46	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6707	6707																																																																																																																																
[Mặt Nạ] Khiên Vân Thủ		1	1	13	47	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6708	6708																																																																																																																																
[Mặt Nạ] Phương Hành Giác		1	1	13	48	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6707	6707																																																																																																																																
[Mặt Nạ] Khiên Vân Thủ		1	1	13	49	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6708	6708																																																																																																																																
[Mặt Nạ] Đại Lực Hùng		1	1	13	50	1	\image\item\equip\mask\mianju_putong.spr		35	Mặt Nạ dùng để thay đổi hình dạng người chơi		0	0	0			1	0	mask	0	0		6811	6811																																																																																																																																
[Mặt Nạ] Rùa Thần		1	1	13	51	1	\image\item\equip\mask\mianju_putong.spr		35	Mặt Nạ dùng để thay đổi hình dạng người chơi		0	0	0			1	0	mask	0	0		6810	6810																																																																																																																																
[Mặt Nạ] Mãnh Hổ		1	1	13	52	1	\image\item\equip\mask\mianju_putong.spr		35	Mặt Nạ dùng để thay đổi hình dạng người chơi		0	0	0			1	0	mask	0	0		6809	6809																																																																																																																																
[Mặt Nạ] Độc Xà		1	1	13	53	1	\image\item\equip\mask\mianju_putong.spr		35	Mặt Nạ dùng để thay đổi hình dạng người chơi		0	0	0			1	0	mask	0	0		6808	6808																																																																																																																																
[Mặt Nạ] Tài Bảo Thố		1	1	13	54	1	\image\item\equip\mask\mianju_putong.spr		35	Mặt Nạ dùng để thay đổi hình dạng người chơi		0	0	0			1	0	mask	0	0		6807	6807																																																																																																																																
[Mặt Nạ] Đậu Hạo		1	1	13	55	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6709	6709																																																																																																																																
[Mặt Nạ] Khuynh Thế		1	1	13	56	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6710	6710																																																																																																																																
[Mặt Nạ] Đậu Hạo		1	1	13	57	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6709	6709																																																																																																																																
[Mặt Nạ] Khuynh Thế		1	1	13	58	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6710	6710																																																																																																																																
[Mặt Nạ] Vũ Thanh Phong		1	1	13	59	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6711	6711																																																																																																																																
[Mặt Nạ] Khuynh Quốc		1	1	13	60	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6712	6712																																																																																																																																
[Mặt Nạ] Đường Bá Hổ		1	1	13	61	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6713	6713																																																																																																																																
[Mặt Nạ] Thu Hương		1	1	13	62	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6714	6714																																																																																																																																
[Mặt Nạ] Hàng Long Phục Hổ Quán		1	1	13	63	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		-1	-1					allskill_v	1	1	1	1			expenhance_p	10	10					allskill_v	1	1			1448	1448	lifemax_p	10	10					damage_all_resist	100	100					lifemax_v	1500	1500	-1	-1	0	0	weaponbasedamagetrim	100	100																																																																								604800							
[Mặt Nạ] Cúp thế giới		1	1	13	64	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		6712	6712																																																																																																																																
[Mặt Nạ] Wodekapu		1	1	13	65	1	\image\item\other\scriptitem\Fifa_jixiangwu_s.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		6715	6715																																																																																																																																
[Mặt Nạ] Xuất Thế Anh Hùng		1	1	13	66	10	\image\item\other\scriptitem\qinling_mask.spr		35			0	0	200000000			2	1	mask	0	0		-1	-1					allskill_v	2	2	1	1			expenhance_p	30	30					allskill_v	2	2			1448	1448	lifemax_p	30	30					damage_all_resist	200	200					lifemax_v	2000	2000	-1	-1	0	0	ignoreresist_p	15	15	0	0			weaponbasedamagetrim	200	200					deadlystrikedamageenhance_p	5	5																																																																	
[Mặt Nạ] Lâm Quân Miện		1	1	13	67	10	\image\item\other\scriptitem\qinling_mask.spr		35			0	0	500000000			2	1	mask	0	0		-1	-1					allskill_v	3	3	1	1			expenhance_p	50	50					allskill_v	3	3			1936	1936	lifemax_p	50	50					damage_all_resist	300	300					lifemax_v	3000	3000	-1	-1	0	0	ignoreresist_p	25	25	0	0			weaponbasedamagetrim	300	300					deadlystrikedamageenhance_p	10	10																																																																	
[Mặt Nạ] Kim Long Lang Quân		1	1	13	68	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=green>Nam nhân dũng mãnh đầy sát khí!<color>		0	0	50000			1	0	mask	0	0		3724	3724																																																																																																																																
[Mặt Nạ] Kim Ngọc Giai Nhân		1	1	13	69	1	\image\item\other\scriptitem\qinling_mask.spr		35	<color=green>Giai nhân yêu kiều!<color>		0	0	50000			1	0	mask	0	0		3725	3725																																																																																																																																
[Mặt Nạ] Wodekapu		1	1	13	70	1	\image\item\other\scriptitem\Fifa_jixiangwu_s.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6715	6715																																																																																																																																
[Mặt Nạ] Wodekapu		1	1	13	71	1	\image\item\other\scriptitem\Fifa_jixiangwu_s.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6715	6715																																																																																																																																
[Mặt Nạ] Hổ		1	1	13	72	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		4451	4451																																																																																																																																
[Mặt Nạ] Yến Yến		1	1	13	73	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		4452	4452																																																																																																																																
[Mặt Nạ] Hổ		1	1	13	74	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		4451	4451																																																																																																																																
[Mặt Nạ] Yến Yến		1	1	13	75	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		4452	4452																																																																																																																																
[Mặt Nạ] Đường Khuyết		1	1	13	76	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		3515	3515																																																																																																																																
[Mặt Nạ] Doãn Tiêu Vũ		1	1	13	77	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		3536	3536																																																																																																																																
[Mặt Nạ] Mục Đồng		1	1	13	78	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		4483	4483																																																																																																																																
[Mặt Nạ] Chức Nữ		1	1	13	79	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		6882	6882																																																																																																																																
[Mặt Nạ] Thác Bạt Sơn Uyên		1	1	13	80	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6716	6716																																																																																																																																
[Mặt Nạ] Cừu Tuyết		1	1	13	81	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6717	6717																																																																																																																																
[Mặt Nạ] Thác Bạt Sơn Uyên		1	1	13	82	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6716	6716																																																																																																																																
[Mặt Nạ] Cừu Tuyết		1	1	13	83	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6717	6717																																																																																																																																
[Mặt Nạ] Hỷ Nữu Nữu		1	1	13	84	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7056	7056																																																																																																																																
[Mặt Nạ] Phúc Oa Oa		1	1	13	85	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		7057	7057																																																																																																																																
[Mặt Nạ] Đường Khuyết		1	1	13	86	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6730	6730																																																																																																																																
[Mặt Nạ] Ngưu Thúy Hoa		1	1	13	87	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6731	6731																																																																																																																																
[Mặt Nạ] Đường Khuyết		1	1	13	88	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6730	6730																																																																																																																																
[Mặt Nạ] Ngưu Thúy Hoa		1	1	13	89	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		6731	6731																																																																																																																																
[Mặt Nạ] Áo dài khăn đống (Nam)		1	1	13	90	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7124	7124																																																																																																																																
[Mặt Nạ] Áo dài khăn đống (Nữ)		1	1	13	91	1	\image\item\other\scriptitem\qinling_mask.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			2	0	mask	0	0		7123	7123																																																																																																																																
[Mặt Nạ] Cốc Tiên Tiên		1	1	13	92	1	\image\item\equip\mask\mianju_putong.spr		35	Dùng để đổi diện mạo, mang vào sẽ giống NPC này		0	0	0			1	0	mask	0	0		2772	2772																																																																																																																																
