GROUPID	Id	QID	QUESTION	ANSWER	SELECT1	SELECT2	SELECT3
9	5		Trong giao diện bản đồ lãnh thổ, làm sao để xem bản đồ tranh đoạt của từng lãnh thổ nhất định?	Đưa trỏ chuột đến biểu tượng vùng lãnh thổ đó	Nhấp chuột trái vào biểu tượng lãnh thổ	Nhấp chuột phải vào biểu tượng lãnh thổ	
9	6		Trong giao diện bản đồ lãnh thổ, nếu giữa hai lãnh thổ có 1 tòa thành thì hai lãnh thổ này có được xem là kế cận nhau không?	Phải	Không	Không thể xác định	
10	1		Nhận quân nhu của Tranh đoạt lãnh thổ ở đâu?	Quan Lãnh Thổ của các thành	Lễ Quan của các Tân Thủ Thôn và các thành	Chủ Tiệm Thuốc của các Tân Thủ Thôn và các thành	
10	2		Những đạo cụ bang hội mua từ chỗ Quan Lãnh Thổ không được sử dụng cho người chơi nào?	Người chơi không thuộc bang hội	Người chơi thuộc gia tộc khác trong bang hội	Bản thân người mua đạo cụ	
10	3		Trong thời gian Lãnh Thổ Chiến, chức năng truyền tống chiến trường của Xa Phu có thể giúp các thành viên bang hội đi đến đâu?	Lãnh thổ bang hội đã chiếm được	Lãnh thổ bang hội đã tuyên chiến	Bất kỳ lãnh thổ nào chưa bị bang hội chiếm lĩnh	
10	4		Mua Luyện Hóa Đồ chỉ (bộ danh vọng) của Tranh đoạt lãnh thổ ở đâu?	Quan Lãnh Thổ	Chủ Tiệm Binh Khí	Dã Luyện Đại Sư	
11	1		Người chơi nào trong bang hội có quyền tuyên chiến?	Bang chủ hoặc những thành viên có quyền tuyên chiến	Tộc trưởng	Trưởng lão	
11	2		Lúc nào có thể đến Quan Lãnh Thổ thiết lập thêm Quân Nhu bang hội?	Lúc tuyên chiến và chinh chiến	Bất kỳ lúc nào	Trước khi bắt đầu tuyên chiến	
11	3		Trong thời gian chinh chiến, đến gặp Quan Lãnh Thổ thiết lập thêm Quân Nhu bang hội cần tiêu hao cái gì?	Quỹ xây dựng bang hội	Tính năng động của bang hội	Tài sản cá nhân	
11	4		Sau khi bang hội chiếm được lãnh thổ, mục nào sau đây không là lợi ích của việc đưa lãnh thổ trở thành thành chính?	Trong thời gian chinh chiến, ở thành chính có thể được nhận thêm chiến công cá nhân.	Thủ thành chính thành công, sẽ tăng thưởng danh vọng Tranh đoạt lãnh thổ.	Trong thời gian chinh chiến, trong thành chính của phe ta, khả năng tác chiến tăng rõ rệt.	
11	5		Lúc nào có thể đến Quan Lãnh Thổ nhận thêm phần thưởng Tranh đoạt chiến cho bang hội?	Kết thúc thời kỳ chinh chiến	Thời kỳ chinh chiến	Trước khi bắt đầu tuyên chiến	
12	1		Thời gian chinh chiến, cách nhận được tích lũy bang hội chính xác là?	Khi chinh chiến đánh lùi nhân vật hoặc NPC của kẻ địch sẽ không nhận được tích lũy bang hội.	Đánh hạ Long trụ kẻ địch, sẽ không nhận được tích lũy bang hội.	Đánh lùi tướng lĩnh và nguyên soái lãnh thổ chiến của kẻ địch, có thể nhận được tích lũy bang hội.	
12	2		Cách nói nào dưới đây về Long trụ là chính xác?	Số lần làm mới Long trụ càng nhiều, sau khi bị đánh hạ lần kế, tích lũy bang hội bên chiếm lãnh thổ nhận được càng cao.	Tích lũy bang hội phe chiếm lĩnh nhận được sau khi Long trụ bị đánh hạ là cố định không thay đổi, không liên quan tới số lần làm mới Long trụ.	Tích lũy bang hội Long trụ phe ta mỗi khoảng thời gian tăng sẽ giảm theo thời gian tồn tại Long trụ tăng.	
12	3		Điều kiện lãnh thổ phe mình phát sinh bang hội NPC phản công gồm mục nào sau đây?	Thiết lập làm lãnh thổ thành chính	Thời gian chinh chiến	Bất kỳ một lãnh thổ phi Tân Thủ Thôn được chiếm lĩnh, chưa thiết lập làm thành chính	Có xác suất nhất định phát sinh
12	4		Điều kiện bản đồ lãnh thổ bị bang hội NPC phản công thành công là gì?	Khi chinh chiến kết thúc, tích lũy bang hội của bang hội NPC trong bản đồ này cao nhất	Khi chinh chiến kết thúc, số lượng Long trụ của bang hội NPC chiếm lĩnh trong bản đồ này nhiều nhất.	Thời gian chinh chiến, tất cả Long trụ trong bản đồ này đều bị bang hội NPC chiếm lĩnh.	
12	5		Về kết quả chiếm lĩnh lãnh thổ bang hội NPC phản công thành công, mục nào dưới đây là chính xác?	Quyền chiếm lĩnh lãnh thổ này bằng 0, chiếm lãnh thổ lần kế bang hội muốn tấn công lãnh thổ này phải tuyên chiến trước.	Quyền chiếm lĩnh lãnh thổ này chưa thay đổi, vẫn do bang hội chiếm lĩnh ban đầu tiếp tục chiếm lĩnh, nhưng không thể nhận phần thưởng chiếm lĩnh lãnh thổ này.	Quyền chiếm lĩnh lãnh thổ này trả về bang hội có tích lũy đứng thứ 2 khi chinh chiến kết thúc.	
