Name	DataID	Kind	ClassName	ImageName	SoundName	LifeTime	Height	ImageTotalFrame	ImageCurFrame	ImageTotalDir	ImageCurDir	ImageInterval	ImageCgXpos	ImageCgYpos	ImageDropName	ImageDropTotalFrame	ImageDropCurFrame	ImageDropTotalDir	ImageDropCurDir	ImageDropInterval (Giãn cách frame）	ImageDropCgXpos	ImageDropCgYpos	IsUnseen	ObstacleKind	LoopAnimation
Lửa trại	31	Item		\image\item\obj\other\f_gouhuo_weidianran.spr	\audio\obj\si002.wav	6000	8	1	0	1	0	18	70	110	\image\item\obj\other\gouhuo_weidianran.spr	10	0	1	0	18	70	110	0	0	0
Túi	32	Item		\image\item\obj\other\f_baoguo.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\baoguo.spr	10	0	1	0	18	70	110	0	0	0
Sách	33	Item		\image\item\obj\other\f_miji.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\miji.spr	10	0	1	0	18	70	110	0	0	0
Trục cuốn	34	Item		\image\item\obj\other\f_juanzhou.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\juanzhou.spr	10	0	1	0	18	70	110	0	0	0
Rương	35	Item		\image\item\obj\other\f_xiangzi.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xiangzi.spr	10	0	1	0	18	70	110	0	0	0
Lọ thuốc	36	Item		\image\item\obj\other\f_yaoping.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\yaoping.spr	10	0	1	0	18	70	110	0	0	0
Bạc 1	37	Money		\image\item\obj\other\f_money_01.spr	\audio\obj\si005.wav	2400	8	7	0	1	0	18	70	110	\image\item\obj\other\money_01.spr	13	0	1	0	18	70	110	0	0	0
Bạc 2	38	Money		\image\item\obj\other\f_money_02.spr	\audio\obj\si005.wav	2400	8	7	0	1	0	18	70	110	\image\item\obj\other\money_02.spr	13	0	1	0	18	70	110	0	0	0
Bạc 3	39	Money		\image\item\obj\other\f_money_03.spr	\audio\obj\si005.wav	2400	8	7	0	1	0	18	70	110	\image\item\obj\other\money_03.spr	15	0	1	0	18	70	110	0	0	0
Bạc 4	40	Money		\image\item\obj\other\f_money_04.spr	\audio\obj\si005.wav	2400	8	7	0	1	0	18	70	110	\image\item\obj\other\money_04.spr	15	0	1	0	18	70	110	0	0	0
Bạc 5	41	Money		\image\item\obj\other\f_money_05.spr	\audio\obj\si005.wav	2400	8	7	0	1	0	18	70	110	\image\item\obj\other\money_05.spr	15	0	1	0	18	70	110	0	0	0
Tiền đồng	42	Item		\image\item\obj\other\f_tongqian.spr	\audio\obj\si005.wav	2400	8	8	0	1	0	18	70	110	\image\item\obj\other\tongqian.spr	10	0	1	0	18	70	110	0	0	0
La Bặc	43	Item		\image\item\obj\other\f_luobo.spr	\audio\obj\si005.wav	540	8	1	0	1	0	18	70	110	\image\item\obj\other\baoguo.spr	10	0	1	0	18	70	110	0	0	0
