TASK_GROUP	TASK_ID_FIRST	TASK_ID_LAST	TASK_NAME	TASK_OVERDATE	SYNC_FLAG	CLIENT_FLAG	TASK_DESCRIBE
8			Dữ liệu môn phái đã back up-Môn phái 1		1	0	
9			Dữ liệu môn phái đã back up-Môn phái 2		1	0	
10			Dữ liệu môn phái đã back up-Môn phái 3		1	0	
11			Dữ liệu môn phái đã back up-Môn phái 4		1	0	
12			Dữ liệu môn phái đã back up-Môn phái 5		1	0	
13			Dữ liệu môn phái đã back up-Môn phái 6		1	0	
14			Dữ liệu môn phái đã back up-Môn phái 7		1	0	
15			Dữ liệu môn phái đã back up-Môn phái 8		1	0	
16			Dữ liệu môn phái đã back up-Môn phái 9		1	0	
17			Dữ liệu môn phái đã back up-Môn phái 10		1	0	
18			Dữ liệu môn phái đã back up-Môn phái 11		1	0	
19			Dữ liệu môn phái đã back up-Môn phái 12		1	0	
20			Dữ liệu môn phái đã back up-Môn phái 13		1	0	
31			Dữ liệu môn phái đã back up-Ngũ hành 1		1	0	
32			Dữ liệu môn phái đã back up-Ngũ hành 2		1	0	
33			Dữ liệu môn phái đã back up-Ngũ hành 3		1	0	
34			Dữ liệu môn phái đã back up-Ngũ hành 4		1	0	
35			Dữ liệu môn phái đã back up-Ngũ hành 5		1	0	
1000			Log phương thức hoàn thành nhiệm vụ				
1001			Phương thức nhiệm vụ-nhiệm vụ 1				
1002			Phương thức nhiệm vụ-nhiệm vụ 2				
1003			Phương thức nhiệm vụ-nhiệm vụ 3				
1004			Phương thức nhiệm vụ-nhiệm vụ 4				
1005			Phương thức nhiệm vụ-nhiệm vụ 5				
1006			Phương thức nhiệm vụ-nhiệm vụ 6				
1007			Phương thức nhiệm vụ-nhiệm vụ 7				
1008			Phương thức nhiệm vụ-nhiệm vụ 8				
1009			Phương thức nhiệm vụ-nhiệm vụ 9				
1010			Phương thức nhiệm vụ-nhiệm vụ 10				
1011			Phương thức nhiệm vụ-nhiệm vụ 11				
1012			Phương thức nhiệm vụ-nhiệm vụ 12				
1013			Phương thức nhiệm vụ-nhiệm vụ 13				
1014			Phương thức nhiệm vụ-nhiệm vụ 14				
1015			Phương thức nhiệm vụ-nhiệm vụ 15				
1016			Phương thức nhiệm vụ-nhiệm vụ 16				
1017			Phương thức nhiệm vụ-nhiệm vụ 17				
1018			Phương thức nhiệm vụ-nhiệm vụ 18				
1019			Phương thức nhiệm vụ-nhiệm vụ 19				
1020			Phương thức nhiệm vụ-nhiệm vụ 20				
1021	1	1	Số lần sử dụng Gia thư thần bí		1		
1021	2	2	Có phải đã qua bước chỉ dẫn của Trần Bích Nương		1		
1021	3	3	Đã/chưa làm nhiệm vụ môn phái		1		
1021	4	4	Biến lượng 1 biểu hiện đã hoàn thành nhiệm vụ Giáo dục của chương môn thập đại môn phái. Có thể tiếp tục làm nhiệm vụ Giáo dục Tân Thủ Thôn		1		
1021	5	5	Biến lượng 1 biểu hiện đã hoàn thành nhiệm vụ Giáo dục: Kỳ Trân Mê. Có thể tiếp nhận 3 nhiệm vụ Giáo dục chính tuyến		1		
1021	6	6	Tân thủ mới đăng nhập trò chơi sẽ được giao 1 nhiệm vụ		1		
1021	7	7	Tiến cử hướng luyện môn phái của Trần Bích Nương		1		
1021	8	8	Có phải sau khi nhiệm vụ Giáo dục hoàn thành sẽ đề nghị chọn trong 3 hướng phát triển		1		
1022	1	1	Địa lao		1		
1022	2	2	Phòng Bùi Dực Phi		1		
1022	3	3	Phòng Cầu Chỉ Thủy		1		
1022	4	4	Phòng Đầu lĩnh thương nhân		1		
1022	5	5	Đường nhỏ thần bí		1		
1022	6	6	Hình Thiên Lĩnh		1		
1022	7	7	Phòng trại chính		1		
1022	8	8	Khoang Thuyền 2		1		
1022	9	9	Khoang Thuyền 3		1		
1022	10	10	Thuyền phu truyền tống 		1		
1022	11	11	Thiên Vương to Cái Bang		1		
1022	12	12	Cái Bang-Tiếp nhận Chính tuyến		1		
1022	13	13	Kính Nguyệt Nham truyền tống		1		
1022	14	14	Bạch Sơn Thạch Trường		1		
1022	15	15	Mãnh Hổ Hạng		1		
1022	16	16	Tàng Vân Hiên		1		
1022	17	17	Trích Thủy Động		1		
1022	18	18	Đảo khỉ		1		
1022	19	19	Liễu Quỷ		1		
1022	20	20	Thính Đào Các		1		
1022	21	21	Ngoại Chủng		1		
1022	22	22	Ưng Chuẩn Giác		1		
1022	23	23	Cái Bang to Ngũ Độc		1		
1022	24	24	Ngũ Độc nam nữ Chính tuyến-phân đàn		1		
1022	25	25	Phòng Quần hùng yến		1		
1022	26	26	Phòng Ngư Tàng Phong		1		
1022	27	27	Ân Phương		1		
1022	28	28	Ân Đồng		1		
1022	29	29	Vật Quy Cốc		1		
1022	30	30	Cam Lộ Cốc		1		
1022	31	31	Định Đào Lĩnh		1		
1022	32	32	Thủ Lĩnh Nữ Vu		1		
1022	33	33	Cát Hà Lĩnh		1		
1022	34	34	Bế Nguyệt Sơn đường		1		
1022	35	35	Nội Doanh Hành Tại		1		
1022	36	36	Từ Vân Am		1		
1022	37	37	Phòng Cừu Tuyết		1		
1022	38	38	Kiến Tuyết Đình		1		
1022	39	39	Ngô Hy truyền tống		1		
1022	40	40	Đường nhỏ sau núi		1		
1022	41	41	Nga My to Đường Môn		1		
1022	42	42	Đường Môn tiếp nhận Chính tuyến		1		
1022	43	43	Gian tây		1		
1022	44	44	Đại sảnh		1		
1022	45	45	Chuyết Giả Cư		1		
1022	46	46	Bố Y Các		1		
1022	47	47	Kiến Long Động		1		
1022	48	48	Khu săn bắn		1		
1022	49	49	Đường Môn to Thúy Yên		1		
1022	50	50	Thúy Yên tiếp nhận Chính tuyến		1		
1022	51	51	Xuân Mai Nhã Trúc		1		
1022	52	52	Hậu đình Xuân Mai Nhã Trúc		1		
1022	53	53	Dịch Quán		1		
1022	54	54	Hậu viện Dịch Quán		1		
1022	55	55	Phẩm Hà Đường 		1		
1022	56	56	Trận pháp tầng kế		1		
1022	57	57	Phiêu Bình Kiếm Khách		1		
1022	58	58	Gia Luật Cừu		1		
1022	59	59	Côn Lôn toVõ Đang		1		
1022	60	60	Võ Đang tiếp nhận Chính tuyến		1		
1022	61	61	Giải Kiếm Trì		1		
1022	62	62	Thanh Hư Chân Thất		1		
1022	63	63	Nơi ở Đào Vĩnh Xương		1		
1022	64	64	Nơi ở Ngụy Trường Phong		1		
1022	65	65	Vân Lộc Thủy Cư		1		
1022	66	66	Vương Trùng Dương		1		
1022	67	67	Võ Đang to Thiếu Lâm		1		
1022	68	68	Thiếu Lâm tiếp nhận Chính tuyến		1		
1022	69	69	Hồi Phong Giác Thảo Đường		1		
1022	70	70	Kim Cang Lĩnh		1		
1022	71	71	Tiệm cháo Trừng Huệ		1		
1022	72	72	Thiếu Lâm to Thiên Nhẫn		1		
1022	73	73	Thiên Nhẫn tiếp nhận Chính tuyến		1		
1022	74	74	Nơi ở Ngột Tát		1		
1022	75	75	Thiên Hình Điện		1		
1022	76	76	Ngư Tàng Phong truyền tống		1		
1022	77	77	Cơ Chú truyền tống Vấn Tâm		1		
1022	78	78	Chung Linh Tú truyền tống Huyền Nguyệt		1		
1022	79	79	Thạch Hiên Viên truyền tống 		1		
1022	80	80	Đồng Tử Truyền Tống Xà Động		1		
1022	81	81	Thạch bài truyền tống 1		1		
1022	82	82	Thạch bài truyền tống 2		1		
1022	83	83	Thạch bài truyền tống 3		1		
1022	84	84	Khu vực nhiệm vụ hạn chế		1		
1022	85	85	Thiên Vương LC nhiệm vụ		1		
1022	86	86	Hoa Hương Loa		1		
1022	87	87	Ủy thác của Đệ Tử Thiên Vương		1		
1022	88	88	Nạn Cá Sấu		1		
1022	89	89	Hồi môn của Như Ý		1		
1022	90	90	Hộ Vệ Hành Thương		1		
1022	91	91	Nga My LC nhiệm vụ		1		
1022	92	92	3 Vạn Con Ác Viên		1		
1022	93	93	Đường Môn LC nhiệm vụ		1		
1022	94	94	Vật Thị Nhân Phi		1		
1022	95	95	Bì Giáp Y		1		
1022	96	96	Hổ Huyệt Mê Tung		1		
1022	97	97	Quả sồi		1		
1022	98	98	Đoạt lại pháp khí		1		
1022	99	99	Cùng chống quan quân		1		
1022	100	100	Đường Lang Quyền Sư		1		
1022	101	101	Ảnh Xã Anh Linh 		1		
1022	102	102	Cơ Quan Thú Cốt		1		
1022	103	103	Trừng trị tù phạm		1		
1022	104	104	Thuyền cỏ mượn tên		1		
1022	105	105	Sơn dân vô tội		1		
1022	106	106	Xuân tàm tân ty		1		
1022	107	107	Quyết định phần thưởng bồi thường		1		
1022	108	108	Chọn khu vực nhiệm vụ Chính tuyến		1		
1022	109	109	Chuyện Cũ Thần Châu		1		
1022	110	110	Liễu Thanh Thanh		1		
1022	111	111	Đại Mã Hổ		1		
1022	112	112	Cửu Tuyệt Kiếm Ma		1		
1022	113	113	Lưu Thiết Tượng		1		
1022	114	114	Tri Xuân Đài		1		
1022	115	115	Tàng Kiếm Sơn Trang		1		
1022	116	116	Lệnh Bài Nghĩa Quân Tinh Anh		1		
1022	117	117	Binh Thư/Cơ Quan Thuật Thư		1		
1022	118	118	90 binh thư thường ngày		1		
1022	119	119	90 binh thư (biến lượng hoàn thành)		1		
1022	120	120	90 Cơ quan thư (biến lượng hoàn thành)		1		
1022	121	121	Mở rộng khu vực nhiệm vụ (thống kê số lượng hoàn thành)		1		
1022	122	122	90-91		1		
1022	123	123	91-92		1		
1022	124	124	92-93		1		
1022	125	125	93-94		1		
1022	126	126	94-95		1		
1022	127	127	95-96		1		
1022	128	128	96-97		1		
1022	129	129	97-98		1		
1022	130	130	98-99		1		
1022	131	131	90 cơ quan thư thường ngày		1		
1022	132	132	90 Túi quân hưởng thường ngày		1		
1022	133	133	90 Túi quân hưởng (biến lượng hoàn thành)		1		
1022	134	134	Khu vực Chu Hy dạy học		1		
1022	135	135	Hậu viện Bành Quy Niên		1		
1022	136	136	Hạn chế nhiệm vụ ngẫu nhiên (phó bản)		1		
1022	137	137	Phán đoán Triệu phủ		1		
1022	138	138	Phán đoán lối ra Triệu phủ 2		1		
1022	139	139	Lối ra Chu phủ 2 đến Thẩm phủ		1		
1022	140	140	Mật Thất Thẩm Phủ		1		
1022	141	141	Phán đoán Chu phủ		1		
1022	142	142	100-101		1		
1022	143	143	101-102		1		
1022	144	144	102-103		1		
1022	145	145	103-104		1		
1022	146	146	104-105		1		
1022	147	147	105-106		1		
1022	148	148	106-107		1		
1022	149	149	107-108		1		
1022	150	150	108-109		1		
1022	151	151	Phòng trinh sát Trường Ca Môn		1		
1022	152	152	Mật Thất Chu Hy		1		
1022	153	153	Hàn Phủ		1		
1022	154	154	Đậu Hạo truyền tống 		1		
1022	155	155	110-111		1		
1022	156	156	111-112		1		
1022	157	157	112-113		1		
1022	158	158	113-114		1		
1022	159	159	114-115		1		
1022	160	160	115-116		1		
1022	161	161	116-117		1		
1022	162	162	117-118		1		
1022	163	163	118-119		1		
1022	164	164	110 binh thư thường ngày		1		
1022	165	165	110 binh thư hoàn thành		1		
1022	166	166	110 cơ quan thư thường ngày		1		
1022	167	167	110 cơ quan thư hoàn thành		1		
1022	168	168	Kết nối cấp 90-100		1		
1022	169	169	Kết nối cấp 100-110		1		
1022	170	170	Kết nối cấp 110-120		1		
1022	171	171	110 Túi quân hưởng thường ngày		1		
1022	172	172	110 Túi quân hưởng (biến lượng hoàn thành)		1		
1022	173	173	Điều kiện để tiếp nhận nhiệm vụ Sư đồ truyền công		1		
1022	174	174	Hạn chế số lượng nhiệm vụ truyền công trong tuần		1		
1022	175	175	Liên kết đẳng cấp từ 120-130		1		
1022	176	176	Hải Lăng Vương Mộ_Khống chế nhiệm vụ		1		
1022	177	177	Hải Lăng Vương Mộ_Khu vực ẩn 1		1		
1022	178	178	Hải Lăng Vương Mộ_Khu vực ẩn 2		1		
1022	179	179	Hải Lăng Vương Mộ_Khu vực ẩn 3		1		
1022	180	180	Giới hạn số lần nhiệm vụ khu mở rộng		1		
1022	181	181	130-Binh thư thường ngày		1		
1022	182	182	130-Binh thư hoàn thành		1		
1022	183	183	130-Cơ quan thư thường ngày		1		
1022	184	184	130-Cơ quan thư hoàn thành		1		
1022	185	185	130 Túi quân hưởng hàng ngày		1		
1022	186	186	130 Túi quân hưởng-biến lượng hoàn thành		1		
1022	187	187	Khống chế nhiệm vụ Thám Thính Quân Doanh		1		
1022	188	188	Khống chế nhiệm vụ môn phái cấp 20		1		
1022	189	189	Khống chế nhiệm vụ môn phái cấp 30		1		
1022	190	190	Khống chế nhiệm vụ môn phái cấp 40		1		
1022	200	202	Ghi chép nhiệm vụ 4 lần		1		
1022	203	203	Khống chế kỹ năng cấp 110_Thiếu Lâm		1		
1022	204	204	Khống chế kỹ năng cấp 110_Thiên Vương		1		
1022	205	205	Khống chế kỹ năng cấp 110_Đường Môn		1		
1022	206	206	Khống chế kỹ năng cấp 110_Ngũ Độc		1		
1022	207	207	Khống chế kỹ năng cấp 110_Nga My		1		
1022	208	208	Khống chế kỹ năng cấp 110_Thúy Yên		1		
1022	209	209	Khống chế kỹ năng cấp 110_Cái Bang		1		
1022	210	210	Khống chế kỹ năng cấp 110_Thiên Nhẫn		1		
1022	211	211	Khống chế kỹ năng cấp 110_Võ Đang		1		
1022	212	212	Khống chế kỹ năng cấp 110_Côn Lôn		1		
1022	213	213	Khống chế kỹ năng cấp 110_Minh Giáo		1		
1022	214	214	Khống chế kỹ năng cấp 110_Đoàn Thị		1		
1022	215	215	Đã nâng cấp ghi chép yêu cầu nhiệm vụ kỹ năng cấp 110 chưa, mỗi môn phái chiếm một chỗ		1		
1022	216	216	Tìm hiểu Hồng Nương 1		1		
1022	217	217	Tìm hiểu Hồng Nương 2		1		
1022	218	218	Tìm hiểu Hồng Nương 3		1		
1022	219	219	Tìm hiểu Hồng Nương 4		1		
1022	220	220	Tìm hiểu Hồng Nương 5		1		
1022	221	221	Tìm hiểu Hồng Nương 6		1		
1022	222	222	Lần lượt thử kỹ năng của 12 môn phái		1		
1022	223	223	Thêm hảo hữu, độ thân mật cấp 2		1		
1022	224	224	Trở thành thành viên ký danh, nhận thưởng tuần		1		
1022	225	225	Người chơi đang trong nhiệm vụ Thập Nhị Môn Phái		1		
1022	226	226	Giới thiệu người mới tháng 10-Điều kiện nhiệm vụ thấy và nhận được		1		
1022	227	227	Phán đoán biến lượng nhiệm vụ 6 Túi Quà 1-6		1		
1022	228	228	完成采石矶第一阶段周常		1		
1022	229	229	采石矶第一阶段周常次数控制		1		
1022	230	230	采石矶第二阶段周常次数控制		1		
1022	231	231	完成采石矶第二阶段周常		1		
1022	232	232	周常控制，接取任务两个任务互斥		1		
1022	233	233	周常第一任务识别变量		1		
1022	234	234	周常进阶任务识别变量		1		
1022	235	235	江南联中原		1		
1022	236	236	中原联西南		1		
1022	237	237	江南开始		1		
1022	238	238	趣味/家族竞技		1		
1022	239	239	本日进行西夏任务标识		1		
1022	240	240	西夏军需任务识别		1		
1022	241	241	西夏选择任务数量控制		1		
1022	242	242	西夏过渡任务完成识别		1		
1022	243	243	西夏普通任务完成识别1		1		
1022	244	244	西夏普通任务完成识别2		1		
1022	245	245	西夏普通任务完成识别3		1		
1022	246	246	西夏普通任务完成识别4		1		
1022	247	247	西夏普通任务完成识别5		1		
1022	248	248	西夏普通任务完成识别6		1		
1022	249	249	西夏普通任务进行识别1		1		
1022	250	250	西夏普通任务进行识别2		1		
1022	251	251	西夏普通任务进行识别3		1		
1022	252	252	西夏普通任务进行识别4		1		
1022	253	253	西夏普通任务进行识别5		1		
1022	254	254	西夏普通任务进行识别6		1		
1022	255	255	西夏高级任务完成1		1		
1022	256	256	西夏高级任务完成2		1		
1022	257	257	西夏高级任务完成3		1		
1022	258	258	西夏高级任务完成4		1		
1022	259	259	西夏高级任务完成5		1		
1022	260	260	本日进行蒙古任务标识		1		
1022	261	261	蒙古军需任务完成		1		
1022	262	262	蒙古选择任务数量控制		1		
1022	263	263	蒙古过渡任务完成识别		1		
1022	264	264	蒙古普通任务完成识别1		1		
1022	265	265	蒙古普通任务完成识别2		1		
1022	266	266	蒙古普通任务完成识别3		1		
1022	267	267	蒙古普通任务完成识别4		1		
1022	268	268	蒙古普通任务完成识别5		1		
1022	269	269	蒙古普通任务完成识别6		1		
1022	270	270	蒙古普通任务进行识别1		1		
1022	271	271	蒙古普通任务进行识别2		1		
1022	272	272	蒙古普通任务进行识别3		1		
1022	273	273	蒙古普通任务进行识别4		1		
1022	274	274	蒙古普通任务进行识别5		1		
1022	275	275	蒙古普通任务进行识别6		1		
1022	276	276	蒙古高级任务完成1		1		
1022	277	277	蒙古高级任务完成2		1		
1022	278	278	蒙古高级任务完成3		1		
1022	279	279	蒙古高级任务完成4		1		
1022	280	280	蒙古高级任务完成5		1		
1023	1	1	Thời gian cập nhật hệ thống luyện công cuối cùng gần nhất		1	0	
1023	2	2	Thời gian tích lũy hệ thống luyện công còn lại; đơn vị: giờ*10		1	0	
1023	3	3	Trị số nhân đôi kinh nghiệm còn lại của hệ thống luyện công		1	0	
1023	4	4	Số lượng tu luyện còn lại của hệ thống Mật tịch		1	0	
1023	5	5	Người chơi cũ quay lại còn được nhận thêm thời gian luyện công		1	0	
1023	6	6	Người chơi cũ quay lại có (không) thể nhận được phần thưởng thời gian luyện công?		1	0	
1023	7	7	Tặng thêm thời gian tu luyện		1	0	
1024	1	1	Nhà nhỏ Khấu Nhuệ trap (phán đoán)		1		
1024	2	2	Hiệp cốc (phán đoán)		1		
1024	3	3	Thái Tổ Bảo Khố (phán đoán)		1		
1024	4	4	Võ Đang Thương Khố (phán đoán)		1		
1024	5	5	Phòng Tri Khách Thiếu Lâm (phán đoán)		1		
1024	6	6	Phòng Tri Khách Thiếu Lâm (phán đoán)		1		
1024	7	7	Phòng Thái hậu Lâm An (phán đoán)				
1024	8	8	Nơi nhốt Thái Hậu TRAP (phán đoán)				
1024	9	9	Nhu Nga trap (phán đoán)				
1024	10	10	Cổ Nữ trap				
1024	11	11	Đại Lý Đao Hoàng Hậu-Ký hiệu là 2 không thể vào				
1024	12	12	Điểm Thương Sơn Chú Kiếm Sơn Cốc trap điểm (phán đoán)				
1024	13	13	Mai Nhất Chi trap điểm (phán đoán)				
1024	14	14	Mật đạo Đại Lý trap (phán đoán)				
1024	15	15	Lôi vào Kiếm Các Thục Đạo Hoàn Phong trap				
1024	16	16	Phòng giam Hàn Trung ở Cửu Nghi Khê trap				
1024	17	17	Cửu Nghi Khê Lâu 1 trap				
1024	18	18	Biệt Viện Đường Môn trap (phán đoán)				
1024	19	19	Đại Tán Quan trap (phán đoán)				
1024	20	20	Hậu viện Ngu Tẩu trap (phán đoán)				
1024	21	21	Thái hậu loan giá trap (phán đoán)				
1024	22	22	Mật thất Long mạch trap (phán đoán)				
1024	23	23	Mật thất Quái Lão Đầu trap (phán đoán)				
1024	24	24	Đa Ma (phán đoán)				
1024	25	25	Cấp 51-60 nhận nhiệm vụ chính tuyến Khu Trung Nguyên cần		1		
1024	26	26	Cấp 51-60 nhận nhiệm vụ chính tuyến Khu Giang Nam cần		1		
1024	27	27	Cấp 51-60 nhận nhiệm vụ chính tuyến Khu Tây Nam cần		1		
1024	28	28	Cấp 61-70 nhận nhiệm vụ chính tuyến Khu Trung Nguyên cần		1		
1024	29	29	Cấp 61-70 nhận nhiệm vụ chính tuyến Khu Giang Nam cần		1		
1024	30	30	Cấp 61-70 nhận nhiệm vụ chính tuyến Khu Tây Nam cần		1		
1024	31	31	Cấp 71-80 nhận nhiệm vụ chính tuyến Khu Tây Nam cần		1		
1024	32	32	Cấp 71-80 nhận nhiệm vụ chính tuyến Khu Giang Nam cần		1		
1024	33	33	Cấp 71-80 nhận nhiệm vụ chính tuyến Khu Trung Nguyên cần		1		
1024	34	34	Cấp 81-90 nhận nhiệm vụ chính tuyến Khu Trung Nguyên cần		1		
1024	35	35	Cấp 81-90 nhận nhiệm vụ chính tuyến Khu Tây Nam cần		1		
1024	36	36	Cấp 81-90 nhận nhiệm vụ chính tuyến Khu Giang Nam cần		1		
1024	37	37	Long Vương Miếu (phán đoán)				
1024	38	38	Linh Ẩn Tự (phán đoán)				
1024	39	39	Tiểu Xuân Tử		1		
1024	50	50	Nhiệm vụ chiến bị		1		
1024	51	51	Hạn chế nhiệm vụ (phó bản)		1		
1024	52	52	Hạn chế nhiệm vụ chính tuyến		1		
1024	53	53	Nhiệm vụ Phục Ngưu Sơn (mở rộng)		1		
1024	54	54	Hạn chế Hậu Sơn Phục Ngưu mỗi tuần (mở rộng)		1		
1024	55	55	Nhiệm vụ Tàn Tích Phục Ngưu Sơn Trang		1		
1024	56	56	Đột phá nhiệm vụ 4 (mở rộng)		1		
1024	57	57	Cơ quan thuật Tâm đắc thư (tối đa)		1		
1024	58	58	Bách Man Sơn nhận nhiệm vụ khu vực mở rộng (số lượng tối đa)		1		
1024	59	59	Bách Man Sơn-biến lượng nhiệm vụ chính tuyến sơ cấp mỗi ngày		1		
1024	60	60	Bách Man Sơn-biến lượng nhiệm vụ chính tuyến trung cấp mỗi ngày		1		
1024	61	61	Bách Man Sơn-hạn chế nhận nhiệm khu vực mở rộng		1		
1024	62	62	Phán đoán nghi thức trao tặng		1		
1024	63	63	Phán đoán thu phục đồng hành		1		
1024	64	64	Phán đoán thăng cấp đồng hành		1		
1024	65	65	Phán đoán thăng cấp kỹ năng đồng hành				
1024	66	66	Phán đoán ngộ tính đồng hành		1		
1024	67	67	龙影珠1		1		
1024	68	68	龙影珠2		1		
1025	1	1	Hạn chế nhiệm vụ chúc tết (biến lượng)		1		
1025	2	2	Hoàn thành nhiệm vụ chính tuyến 130-139		1		
1025	3	3	Nhiệm vụ chính tuyến 135-Hừng Hực Khí Thế		1		
1025	4	4	Nhiệm vụ chính tuyến 135-Liên Thủy Đăng Lục		1		
1025	5	5	Nhiệm vụ chính tuyến 135-Dương Đông Kích Tây		1		
1025	6	6	Nhiệm vụ chính tuyến 135-Xả Thân Vì Nghĩa		1		
1025	7	7	Nhiệm vụ chính tuyến 135-Như Từng Quen Biết		1		
1025	8	8	Nhiệm vụ chính tuyến 135-Chẳng Như Hoài Niệm		1		
1025	9	9	Nhiệm vụ chính tuyến 135-Tiểu Thư họ Bạch		1		
1025	10	10	Nhiệm vụ chính tuyến 135-Mối Duyên Sơn Trại		1		
1025	11	11	Nhiệm vụ chính tuyến 135-Thân Thế Mơ Hồ		1		
1025	12	12	Nhiệm vụ chính tuyến 135-Du Long Tái Hiện		1		
1025	13	13	Nhiệm vụ chính tuyến 135-Hiệp Cốt Nhu Tình		1		
1025	14	14	Hạn chế nhiệm vụ chúc tết (biến lượng)		1		
1025	15	15	Cầu phúc cho nạn dân-Nhang Bình An				
1025	16	16	Cầu phúc cho nạn dân				
1025	17	17	Biến lượng hoàn thành nhiệm vụ Thiết Phù thành chủ		1		
1025	18	18	Biến lượng hoàn thành nhiệm vụ hộ vệ Thiết Phù thành chủ		1		
1025	19	19	Biến lượng giao vật phẩm nhiệm vụ		1		
1025	20	20	Biến lượng hoàn thành các bước đồng hành chuyển hóa thành chân nguyên		1		
1025	21	21	Biến lượng hoàn thành các bước chân nguyên tham gia luyện tập		1		
1025	22	22	Biến lượng hoàn thành các bước chân nguyên tham gia tu luyện		1		
1025	23	23	Hoàn thành các bước chân nguyên luyện hóa thành công		1		
1025	24	24	Biến lượng nhiệm vụ Thất tịch 2010		1		
1025	25	25	20级剧情任务第1步完成变量		1		
1025	26	26	20级剧情任务第2步完成变量		1		
1025	27	27	20级剧情任务第3步完成变量		1		
1025	28	28	20级剧情任务第4步完成变量		1		
1025	29	29	20级剧情任务第5步完成变量		1		
1025	30	30	20级剧情任务第6步完成变量		1		
1025	31	31	20级剧情任务第7步完成变量		1		
1025	32	32	20级剧情任务第8步完成变量		1		
1025	33	33	10级剧情任务变量		1		
1025	34	34	10级剧情任务变量		1		
1025	35	35	10级剧情任务变量		1		
1025	36	36	10级剧情任务变量		1		
1025	37	37	10级剧情任务变量		1		
1025	38	38	10级剧情任务变量		1		
1025	39	39	10级剧情任务变量		1		
1025	40	40	10级剧情任务变量		1		
1025	41	41	10级剧情任务变量		1		
1025	42	42	10级剧情任务变量		1		
1025	43	43	10级剧情任务变量		1		
1025	44	44	10级剧情任务变量		1		
1025	45	45	10级剧情任务变量		1		
1025	46	46	新手教育任务变量		1		
1025	47	47	入门派变量		1		
1025	48	48	10级灭火任务变量		1		
1025	49	49	10级采草任务变量		1		
1025	50	50	20级剧情任务完成变量		1		
1025	51	51	20级剧情任务完成变量		1		
1025	52	52	20级剧情任务完成变量		1		
1025	53	53	20级剧情任务完成变量		1		
1025	54	54	军营无尽的征程额伦河源		1		
1025	55	55	占位		1		
1025	56	56	占位		1		
1025	57	57	鄂伦河原第一关完成		1		
1025	58	58	鄂伦河原套马场完成		1		
1025	59	59	鄂伦河原狩猎场完成		1		
1025	60	60	鄂伦河原挑战铁木真完成		1		
1025	61	61	鄂伦河原完成变量		1		
1025	62	62	军营可用次数		1		
1025	63	63	累加次数日期		1		
1025	64	64	新伏牛山任务控制		1		
1025	65	65	新百蛮任务控制		1		
1025	66	66	新海陵王任务控制		1		
1025	67	67	鄂伦河原任务控制		1		
1025	68	68	新无尽的征程两次鄂伦河原控制		1		
1025	69	69	80级无尽的征程控制		1		
1025	70	70	90级无尽的征程控制		1		
1025	71	71	100级无尽的征程控制		1		
1025	72	72	鄂伦河原击败木华黎		1		
1025	73	73	鄂伦河原击败拖雷		1		
1025	74	74	鄂伦河原击败大祭祀		1		
1025	75	75	龙魂侠影任务完成变量		1		
1025	76	76	辰虫旧事任务完成		1		
1025	77	77	皇陵日常任务完成		1		
1025	78	78	皇陵日常任务5次累计变量		1		
1025	79	79	看热闹		1		
1025	80	80	爆炸		1		
