jxAccount	jsAccDatabase	jsAccount	nAccValG	nAccValS	jxServerGroup
13837196778	1	sanjinzi	3206058	5412	241
13870501860	1	zqtht55555@126.com	114292	1704	12
13882997583	3	3324336	174874	381	12
13886060032	1	yuwenzhen1987	187934	1490	241
13890597224	4	linyong989	149885	521	241
13901191180	2	zhulin20062	944913	380	31
13904371428	2	ydhydh0087	65405	1560	31
13906233799	6	13913695566	127176	774	11
13906852923	1	82218637	419143	11404	11
13910212347you	5	tongwenwu119	194299	426	31
13911650450	1	geansheng0001	145498	770	12
13913695567	6	13913695568	282441	821	11
13927494087	4	jianshi.520	132320	248	41
13946521521	2	82391378aa	155490	662	31
13951095200	1	zs852779162	237278	1545	41
13951760927	6	niuniuwanjx01	355666	620	11
13955176793	1	gxhyyl2	275833	289	41
1395591560	4	ss27747597	239699	954	11
13959952468	1	f13959952468	275681	1436	12
13961622176	1	366722176	66760	74	11
13966531597	1	bingbing297610	801991	4790	11
1397142340	1	13638685311	226926	561	11
13972287311	6	yunchuan2211	62648	31	12
13974441058	4	zds101015	499661	2691	12
13975006789	1	285310000	205814	1716	11
13981078813	1	lzrn12315	63278	401	41
13995795484	4	7753803jx_369	86508	1272	241
14314424	1	zuowei119120	329687	1301	241
157191655	4	lxb398696056	253478	315	41
15902410043	5	yk15902410043	277131	2983	31
15962166252b	3	jiajingcha003203	112626	459	241
1685zx	2	15890959400	154300	708	31
170464293	6	WTU81099916	369054	1346	12
174637745	4	174637723	330455	1484	241
174858331	4	174858331	58527	676	11
17509248	1	333tianxue	324251	422	241
176871486	5	zbc176871486	205159	42	31
182539826	5	wufengchunde	579472	107	11
196862080602	1	dstkyckyc	122690	1500	41
19700211	2	13932918236	325581	983	31
19700315@adsl	2	gudachunaaa	465847	18879	31
19700319	1	zhdow1970	281178	46709	12
1971_cqw_1971	2	iscd2012	82343	420	31
1975mxp	4	1975ddb	571183	77041	41
19761976221	2	jiahongqian30	111648	340	12
197702175594	4	nb10101	387488	40	41
1978813419	1	ccyong1978813	95839	249	11
198011ben	4	ben198011	205367	1384	11
198208272418	6	198208272418	87070	1033	41
19870926xyywlt	3	fongchen07	205492	47	11
1987913000	2	2291834603	172779	1180	31
1991921	3	fengy991214	141976	1472	41
1993zzmm04	6	ZZJJZZMM68	165319	1893	41
1fly1982314	4	sky77783009	101861	954	41
1kingsun	2	1kingsun	169255	1423	181
2000t01	6	975797312	225694	1827	41
2003ybz1028	1	nhj1973	104987	1430	11
2004changshi	6	2001changshi	460296	382	11
2004shizhaoshi	6	2004shizhaoshi	136075	335	11
2005cbh2314cbh	4	2009cbh0414	256447	528	12
2020jxqy	3	24211638	118667	1300	41
204zhanghao_32	6	204zhanghao_32	108779	95	31
218364365	6	magic_super	98514	1161	11
2189118	1	hyzhyryxl1	346582	299	41
2208135566	4	4265174	246633	1151	12
2238103	1	lhb369852	750458	7200	41
2251301	1	bo225130151	411884	446	41
2263648	4	hz5553393	128124	4213	41
2299585622	1	156599510	243355	791	11
23320389	1	bz23320389	129674	1383	41
2368661	2	452744828	146400	240	31
24842535	4	ok3280	154771	1280	241
2524137	4	song603	126611	321	241
25356460	5	wg25356460	359096	735	31
25730666	3	ioive257306	183941	6250	241
260210059	1	2602100598	427768	246	241
2695522	1	earth157891156	390277	237	41
27256077	1	27256077	255725	1470	11
2725607788	1	13311793070	126622	1453	11
27736866yjh	4	13641653845yjh	197226	755	12
280008982	1	chenlingdong1018	153748	296	12
2949008	4	zds20208	223226	426	41
30018616	3	w13855938080	229743	1007	12
3006525	6	tw327330351	140957	119	12
30445586	5	30445586	116444	332	31
30445588	5	30445584	284006	414	31
307539	1	pauleoxia2	213972	1806	41
3111801	1	3111801	163887	73	31
314303220	4	lrh13774006137	396902	254	11
3149166	1	km5197588	168044	1321	241
3166jx	4	3166jx	120555	432	11
326419	1	260388788	217233	1037	241
327330351a	6	tangwen20070410	122941	322	12
328850550	3	liyonghui2009	357158	769	11
328995890	4	zds202075	162534	1028	11
330979	1	liyifeng002	138831	93	11
332068	1	chengfen111	198264	346	12
33669988888	5	dhdsqj369	300649	599	31
3535293	1	hefeng424@163	139108	1214	11
357317879	4	lixuwen501689	117280	338	11
357342583	2	LIYAN0098	194210	54	11
3600542	1	gongshanghang2	716484	1516	241
3698333333	5	wxrwxr309	115468	541	31
37173108910	1	37173108911	115956	27	41
375937964	1	bb011148	351009	2632	41
3810361	1	3810888	291471	1902	241
3818001	1	zizaitian0412	136054	5255	241
383081661	3	zhl422173800	340414	0	241
3843790	1	a3843790	330964	465	12
3887965	1	wangyongtong36	258391	464	241
3939283	2	13526528	364338	856	31
394173684	1	tjf781128	1061171	3568	241
39696686	4	gzbjgcz@163.com	76987	746	41
398098553	2	a398098553	207323	1500	31
399314675	1	cywangyung0122	125184	1482	41
40132869	1	40132869aa	209072	2718	12
403082274	2	abc8888855555	235415	58	41
40507209	4	394361590	154103	1775	41
40703460	1	liwei7ban01	59539	1252	41
41106891	4	41106891	215344	922	41
420114800810453	6	xyc438304628	193087	410	11
420159424	1	420159424WYT	141702	1285	41
4215069	6	yangjianhuangtian	1393367	1821	11
4315862	1	jpg16	96818	1406	41
4436507	3	13860006028	74391	781	41
45055838	1	xjft___619988866	198402	1510	41
4555556789	3	yang4614893855	359108	567	241
460021	1	linglongfei2009	97030	1404	41
4648192chw	1	kkdn05138717	685237	3112	41
48031546	4	wbj724	613443	1137	12
4815960	6	13703006902@139.com	499695	1224	11
48201715	1	tyflchtzs11	230340	817	41
5101089000	4	zds10107	172398	34	41
52044jxqy1	1	rukawa3488	101905	376	41
520520ccb	6	63509083	129291	5466	12
521125yuyu	5	462822115	244276	376	31
52133wa	1	8865293	121571	4518	12
5236401	1	makekiven301	83735	0	31
53212319850914	4	zds202073	119289	46	41
5450146	4	545014612	227899	226	41
5547531	2	lomo526666666	86165	1391	31
55566384	5	abcdef176871486	239755	408	31
55860808	1	guoying20051007	91811	180	241
560275011	1	hero888801	131944	3409	41
56115561	1	chunbi201	124731	1266	12
56766391hi	4	56766391hi	4277357	0	12
5695665	1	zhang2233816	561049	497	241
5715157	1	crress123	118730	1040	241
577197723	1	57719775	190015	4078	41
5799799	1	wjlunjun986926	118353	266	41
5959zzx	2	jw0532	154822	37	31
6015017	1	xlxqh123456	162341	845	241
6211318	2	xiaohutulaile	1077710	626	31
6217152	1	yy13566655913	247087	496	11
6221217	3	uk61778	63050	947	12
62273570	1	czb3322	88518	256	12
62800001	1	zyx62800001	343552	7700	41
6373165712	2	rty378060473	492034	1489	31
641987	1	641987002	320746	611	241
64264579	1	makekiven302	107744	442	31
64308255	2	travis19851015	474242	213	31
6511197	3	6511197	237412	222	41
65488619	3	js312219056	97607	127	41
6569331	6	928052711	286945	1467	31
6604546	4	zds20206	302269	505	41
66063505	1	5078078xjz	184256	795	41
66102120021	4	wu200224@126.com2	88366	3699	41
66102120029	4	wu200224@126.com1	121217	65818	41
6610abc	4	zy85641	292987	621	12
6681920	6	zhang13606058876	228056	428	11
6682916	1	sunlili0601	167410	502	11
669644	4	66964459@qq.com	120036	982	41
66youjun	2	wangzheng050828	220080	99	31
6700618	4	13825112011	288351	394	31
6811364abc	1	ljl7081359	204184	1597	12
6818abc	3	2008118001	342707	403	41
68613951	1	13081907986	500243	100	11
686810	3	13201970988	677453	0	41
688033_zf	1	7441261_zf	477275	221	41
6891234	5	pdgxx2009	194194	46	31
691010	5	zllwxhwjzb	143275	496	31
6930720	6	x4746918	248255	3228	241
70938145201	1	13416002205	208305	0	241
71239099	4	7166536	145379	1421	41
720924	4	720924w	568976	473	12
727212	6	wanzhao001	489251	401	11
7344916	1	xmx84970726	109171	69	41
751014003zy	1	05585522806	147101	378	41
76257917638270	4	xw_hlj_04	310502	1500	241
7631254	2	kao179899700	250629	25	31
7633366	1	fqdh0425	849770	2041	11
76382707625791	4	xw_hlj_05	273422	720	241
770327	1	19920832	403395	2615	11
77585210001	1	aomygodmin	227567	274	11
7758521123456	5	abc176871486	360965	921	31
776699889	4	13477171805hu	152055	1730	12
77learie	1	mingfeng77@tom.com	303293	189	12
780722741202	1	jinzhizhu006	321225	469	41
7810125812	6	superstarjjj	237237	50	12
787878778788	4	lk15602252577	282852	828	41
7878919	1	fuyong840726	97258	1488	11
7888417	4	271086952	336034	1438	41
79244950	6	zouliliaoliang	84140	733	41
793138bjsz	4	347725062	85648	1250	41
800210326	4	wu8002103262	343220	25497	12
8002280	5	80022888	70959	443	31
80070622	3	luojunshu3jianshi	166327	1565	11
801027dai	3	801027daihong	142233	119	41
80111700	1	zhanrt3	456744	1158	12
801216	5	zmm791203	210114	280	31
8103799	4	a8103799	305547	4642	11
81099916	6	WTU81099918	142980	1457	12
81950377	1	81950377	102770	1443	11
821005sky5	1	fengaiyibo	316504	1325	41
8213419	5	8213419	84090	1609	41
8229533	3	85804661	225494	3911	12
82714437	2	66525843	151040	449	31
8282247	4	85558042	623382	1066	41
828lhy	3	828lxr	163802	1803	12
8291662	4	368117655	195735	288	11
8357038q	1	308026488	264372	1200	241
8363383	1	zygzyb	213352	327	41
85009761	1	z85009761	568760	770	241
850223888	4	850223000	818184	2022	41
85379581	1	wxd85379989	113065	1881	41
854240	2	1378275275	219489	1478	31
8564058	1	menghuandemeili	301960	172	241
8569651	1	13692856600	249395	53	11
85697431	2	xywwanglei	289584	1300	31
86001116	4	zds101013	296322	431	41
8601845	1	kgwlzxlyb	92136	0	41
86611439	1	cabellii	186597	1262	241
8666130	4	qssc20602	85559	935	41
86689494	3	61967070	190303	623	41
8680168	1	2602100599	187340	1288	241
86884504	3	huangtu1979929	143916	1881	12
87312973shy	3	87312973yu	609145	6261	11
874658198	6	874658498	83184	900	41
8747939	1	20181252011	265899	1910	241
8752253	2	sxqx_lz	1230446	400	31
8757782	1	lyb407496937	314042	0	41
8784872cy	1	zjgtcy	512025	1447	11
8805880	1	13905960337	195460	5589	12
88209945	1	122112381mm	230025	79	41
88213929	6	zjl20044010	136906	1518	41
8823958	6	leiye861129	110382	37	41
88383709	1	88383709z	207314	473	12
88609496	6	2009haobing	594700	345	11
88978922	1	21488437@qq.com	526629	1494	12
889966aaa	1	hitman9662	235296	236	11
8971018	1	8971018	62461	358	41
89776776	1	89776776	272206	519	11
8980605520	1	13511949607	210609	184	41
900321	6	ww900321	162411	1500	41
9096123	4	309828893	201040	1008	11
911dangerous	3	ATJ190ALS009	1067886	1429	241
93933697	4	sunbin197304	1942372	15565	12
99179493	4	huang98_2009	360890	1432	12
998855664321	4	mdn66634	327946	1309	12
99960071	1	QQ315151217	76255	3922	11
9zengxiong9	1	rukawa3493	121423	45	41
a059513805978631	1	81571869chao	368675	2725	11
a1b2c3yf11	1	chenqunxing03	467641	698	11
a3338585	6	magic_hnyy	198950	126	11
a635288	3	z635288	199045	1168	11
a_b_c3_2_2	5	94388213	259580	53	31
aa3888870	4	zzq3888870	359923	1500	11
aa565656	1	hsn901	83380	793	12
aa602365569	6	cws1983329	199723	1765	241
aaa881973aaa	5	aaa197388	131207	846	31
aaa___a	3	ghy701106	275065	296	41
aaaaaa_0111	1	zuowei119	273740	52	241
aaron3486	1	rukawa3486	641435	339	41
ab00094398	3	mn000094398	478826	31194	12
abc0887415157	1	kg61003922	191263	1363	41
abc5656888	6	abc4444888	93006	338	241
abcd999900001111	3	bee2212	343182	450	241
abcdefgtangjing	1	13203326579	230289	394	11
abcdxly	1	qvinginiaqq	339013	2534	11
abhe4761hjy	5	enngh@6841	314504	1357	31
ac3300005	6	yi2501058	504809	1841	241
accpt14	1	mvp_tkk	72861	445	12
acesconn	1	jacky_aces3	289790	5938	41
acmebaby	2	jiushiwan004	165148	1500	31
adamhill	1	youme819	366879	75	41
adawang	1	adawang0923	100979	615	11
adonis5077	1	wangdy2003	332494	1268	12
ads19821226	6	ads19791205	182697	1448	41
adsl456789	1	adsl3110	154068	540	12
aebskskoo	4	msy80775555	450824	1204	41
agrx18440	5	sdynwwh2008	289032	786	31
ah900328	2	ahcdy003	58861	78	181
aids111111	1	anhai362269	197879	8553	11
akiki2004	1	akiki01	160031	1095	41
al220888	3	abl220888abl	699646	550	241
alice52319098	4	zym02180078	1002571	99000	41
allen0fei	1	hao4723005	252068	195	241
allensgamex	6	allensgamex	221798	674	12
alliszyq	1	alliszyq	229205	1200	41
allkiller1	4	csc1358890	147777	71	41
aloney1234	1	hsn718	133532	1042	12
alowme	6	alowme	73888	786	11
alwpfuqf	1	68886068	311498	3134	12
andychen1018	2	bsszxx2	223681	757	31
angela19881013	4	zds202013	141248	634	12
angelfish0137	1	dafet55	151986	227	41
annie2000	1	ziyiff09	163136	1263	41
anomell	1	rongchengxiaomei	145111	469	41
ansheng2000	1	geansheng002	148375	1507	12
anycallsword	2	dangshimingyue2	55805	40	31
anysbbxrymzantm	2	wxgqebs003	168918	1413	31
anywn584	1	zjpwxh_xy	326646	0	31
ao0204a	1	pheno9750	198145	418	11
aotianlovecss	1	lovelll	434631	2184	241
aoyuetian	1	liyo@163com	99105	5435	41
apapwaphsap	1	apapwaphsap2	167978	625	41
appleus	5	460800889C	89621	676	11
april4099	1	mylove1229	163613	1567	12
argboyok	2	argboyjj	547933	1261	31
argboys	2	argboyj	227815	883	31
armyliangbo	1	armyliangboxls	209390	10000	11
armyliu1740	1	armyliu1745	817821	78997	11
asdf1133	6	luzh12339	64643	2578	11
asylcbs	3	xinyumeng20081	57004	89	41
athenaayumi	4	andy020503	86578	2767	41
aus7766	6	aqs7766922	206942	1732	241
aweifa1	4	ali858	622971	18277	41
ayellayell	6	jmlvvv	104835	1284	12
aywzz_000	2	woainima714	326059	80	241
azhibaobao	6	azhibaobao	178407	616	41
b.iori_yagami	1	B.iori_yagami	282363	1277	11
ba171314	1	xuxiaohong171314	70489	800	241
badworm	5	xiwenggengqiao1	166394	326	31
baiguan	1	13819578583	300841	14998	11
baihualin819	1	baihualin819	182652	2007	41
baixiaojin1118	5	baixiaojin88	75763	782	241
baiying345999	1	baiying3459999	169895	46	11
banditwang	4	lzpjxsj200805	107394	422	11
baobaohb	3	baobaohb_415	814496	670	41
baobaozwj	3	baobaozwj_221	279363	1366	41
baocai503	2	wangzheng156202110	356731	1370	31
barracuda_wang4	6	xiaoxiao_meimei	1840514	2282	11
bbguanr	1	ksgw0012749	536324	626	11
bbq111444	6	849727760	214204	1156	41
becarry888	1	becarry888	306770	1392	241
beijing1981	4	zy333212	77230	128	31
beijingczhimengm	4	xindanbaobei	361398	976	41
beijinglaogai	4	zy77887	214845	577	11
ben555	2	jssw_006	82569	597	31
benbennvren	1	wjjwj8888	375311	154	11
benbo1997	3	57770746	271300	1422	12
benjamin0004	4	benjamin0004	152414	1373	31
best99200701	1	xie15303597952	303198	744	241
betty19822006	1	betty19822006	187797	967	241
bin13528383811	3	bin383811	171012	69	12
bin858776	4	qssc20603	127910	358	41
bingbingcc	1	jiaojiao297610	344471	11587	11
bingyue19760204	3	973809600618	295756	1460	41
bingyuhuo_03	5	sangtana2009	116977	6383	31
blnbzwm	3	blnbzwm	640910	737	12
bmwkong	1	jinshanqushanyangzhen	185807	772	12
boblijun02122	1	28619244701	198126	6589	41
boblijun1984	1	28619244702	50019	945	41
bonkers_lee	4	bonkers_lee	564802	458	12
bosswinson	4	xiaoyaoyanyan2009	369250	622	241
breezerex	2	qq2452839	73473	450	12
browsliang	4	browsliang	604212	1022	241
bubaidexiaomzi	1	7475677	76574	136	41
buyecheng	1	buyecheng1972	130903	56979	41
bzy841023	6	yi21457356	437617	9449	241
c635288	3	b635288	145843	1500	11
cai19790808	6	qq420781032	97669	307	11
caichangx	4	pyxjez5	143878	864	12
caideqiang	1	junshao8569651	131135	26	11
caiqingchang2008	5	183621017	383474	332	41
caocao5201999	3	caocao13992572028	176549	1270	41
caofeikl	4	xindanbaobei2	479704	0	41
caojingzhu	1	wuling520520	165732	0	41
caozou319000	1	355349733cjl	225138	434	12
cbh2314cbh	4	2009cbh0412	298745	560	12
ccb520	6	ccbzhangyang	188757	5047	12
ccc83344839	1	cd83344839	391955	6468	41
cccxxxbbb3	1	33333cyd	61068	123	11
cctv8675950	1	tangyuefeng3	168865	37	41
ccw_xh	4	xiaojiling1977	375694	199	11
ccyydd	1	22222cyd	141042	66	11
cfb_3322168	3	cfb20080808	90135	251	11
ch00227377	1	ch00227371	389021	4418	11
chaozhougd	1	ee011148	108079	491	41
chaozhouncc	1	cc011148	277310	860	41
chen_gaige	5	chen_gaige	166292	711	31
chen_love2006	2	chen_love2008	160975	361	31
chenchangw	3	chenchangw2	368118	4532	31
chengcheng630	4	zds10105	264793	1347	241
chengke007	1	wufeijieee	209546	521	41
chengweizhong	1	chengweizhong	823254	4800	241
chenhuijiang1234	2	bing10hua15	242357	9994	41
chenjian139	6	96528000	155560	591	41
chenjie7510	1	yaorb0508bb	193119	1991	11
chenjinsheng008	6	chenjins5135367001	214035	930	241
chenlei13579	1	chenlei861188@126.com	232806	2125	41
chenlin70	6	chenlin70	229103	824	12
chenxiainiy9	5	lhy130lhy.luoxia	143416	127	181
chenxuan1933	1	chenxuan1933	396811	1504	12
chenyiwen888	1	songhyekyoxx1	135334	461	12
chenyun82	1	huanghuiiverson8	234233	188	11
chenyx2004	1	luoweiwendexhao	98283	1557	241
chenzhicheng0000	1	chen1zhi2cheng3	265893	1411	41
chenzhicheng1969	1	xmhcxbchy	96293	955	41
chenzho888560	2	chenzho123	253385	1460	241
cherryhys321	1	cherryhys321x	288371	22355	41
chhzhou888	3	chhzhou55	267877	411	241
chi111111	4	jshh146282	287970	4479	12
chielee	1	chielee@qq.com	788231	160	11
chihong888168	5	chiyuan888168	978102	0	12
chinahuangyu	2	baobei0809	176726	417	31
ching003	3	ching039	76638	36	12
ching911	3	ching911	78319	305	12
chl666888	1	chliuxj@126.com	127182	2213	41
chli94792000	1	chli94792009	305875	265	11
choashy	4	zy58714	159010	268	31
chq1777	4	chq_1777	646066	950	241
christine8158	4	zds202074	122886	1018	41
chunruan110	1	chunbi203	210878	505	12
chunxue000	2	chuxnue000	162480	1495	31
cjj19660308	2	cyp19661018	398941	21963	31
cjxjinhuzp	3	cjxjinhu5	71948	5214	41
ckf_1984	6	2003changshi	140058	1375	11
cnppnc	6	yuanyuweixi9999	384683	1732	241
cnzhengyu	4	wh__y0134	506664	2400	241
colins11	3	lianggang002	55430	141	41
colins22	3	lianggang003	58523	328	41
colins44	3	lianggang004	84447	212	41
coolinsky	1	coolinsky12	148416	9771	41
corla2008	1	chenqunxing06	199907	900	11
cpf8866	4	zyxwb7575	641770	448	12
cqtvsgz	6	jyjyjya	106201	430	12
csk303000000	1	npypywt	149098	349	12
cswyzh22	2	cswyzh66	875613	6299	31
cszhwy	2	cszhwy66	377409	1513	31
ct2000	4	ct47716199	202060	2011	11
cuijinglan	1	sunnvguoguo	774435	10630	12
cwhwj24	1	cwhwj20	249445	5212	41
cwjhblj	2	176103546	325046	5377	31
cwpdyx	3	zjclyczxh	181664	155	41
cxsczj611119	1	cxsczj611119	632583	0	41
cxszx401	1	cxszx401	214868	0	41
cxszx5800	1	cxszx5800	256064	10000	41
cymx321	4	zy1277474	119505	1245	12
cyn20000821	1	jinshanqusi123	189266	98	241
cz_98306	3	chzh196992	123099	2026	11
cz_jx_1982	1	zs_cz_1982	209636	1207	11
czh5648977	5	czhwbd	117382	824	241
czw___929	4	1045127299	371423	3252	41
czy7755	1	czb3232	92804	1181	12
daidai_aiwo	3	348653132@2	218577	1392	41
damofq	1	wuyun369	407042	1378	12
dan308439180	4	82013702	93941	45	41
dandan290	1	tiantian_huenhuen	2072360	12087	41
darken001	3	ningken009	64818	541	11
darkhoyt	1	darkhoyt	266796	2989	41
daswczs	1	daswczszs	217605	1401	41
david841234766	6	david84123476	59194	454	12
davidlee200800	2	lihongjie0531	204565	106	31
dazhuang2005	4	xiaoyi428	460665	179	12
dazhuangkuang5	4	kofcqd1988	164741	223	12
dcdcdhy	2	dcdcdhy	159305	1431	31
dddshr	4	13734981105a	169264	583	41
dddwdywu3651	1	dddwdywu3651	947279	590	241
ddw110	6	110ddw	412201	915	12
deiness020	3	langhuahuaP	69251	977	181
dengfeng2008	1	dengfeng74	422875	656	11
dengfeng74	1	dengfeng75	298245	938	11
dengxihuajx	1	cyply2222	103176	462	12
dgnxxd	1	dgnxxd	127529	1502	241
dhlg03032224	1	dhlg03032224	127982	2840	41
dhphai1982	1	dhphai1975	3623641	1364	11
dindonfei	5	hldhtflxiang	77175	2283	31
ding_ding123	1	11862814	206617	80	12
dingzhike1975	1	hsn715	571943	364	12
djajipkf	1	djajipkf	169718	5687	11
djdshq	6	djdshq002	124647	762	11
dkc19770801	1	dkc19770802	539490	41	241
dkc19770802	1	dkc19770803	238170	882	241
doomcasio	1	xuwuxing10000000	55717	153	11
doudoumei123	1	sailorzhang1	478361	4745	11
doufu_guo	1	tongtong_guo8	81954	341	11
dtbjw7969	6	dtbjw@21	1916195	0	31
dtycqyj	3	tiger_east	719247	8301	241
duan_tian_yi8605	2	duanfei8605	295795	1320	181
duanyulian	1	duanyulian02	200250	455	41
duguyan007	6	wang_kai88@	142670	426	12
duwuchangkong	3	582908jxst	267463	1473	12
duxiaojun	1	dxjdxj609609	473070	0	11
duzhonghua2	1	jsyeb	64653	45	11
dwb6569593	2	dwb22933852	776606	0	31
dxfdm188	5	mayantao_0	183169	182	31
dxj8708543	4	2009dxj8708543	140168	6172	12
dxmyl2002	1	xiangwanhl	539316	142	41
dycxyt	1	jpgz3301498999	393777	779	11
dyzyp629	4	dyzyp629	92896	814	41
dz253687	1	dzg253687	309037	0	41
dzhwailn	4	xw_hlj_01	75902	432	241
dzl19850	6	yzzs19850	162303	974	11
earth1943	1	157891156a	827753	0	41
eehhele	3	eehhele	748145	4033	41
elley_y	2	yueyuantianren	969553	386	181
elvagl	5	elvagl_217	237027	2135	31
emaths0005	5	emaths0004	87402	586	31
ericsparrow	1	eric496098122	86445	385	11
ericwangyf	4	ericjxsjonline	709017	11416	241
eypgodt	1	eypgodt	176412	1418	241
f1702287	6	hps1205@qq.com	98026	567	41
fang888888888	3	fang20_617048652	410300	6476	241
fangjun21	1	yaorb0508yy	347572	7585	11
fatty68	4	fatty7788	438277	7035	11
fei_kaixin	2	midea880	93172	1479	31
feng760404	2	feng76040405	1147651	0	31
feng_aideren	4	jessini258	177550	518	12
fengjuncheng000	5	fengjuncheng008	299822	1356	241
fengshao689	6	xiaoloutingfeng815	102843	862	11
fengtiaoyushun	5	fengtiaoyushun.3shao	198489	767	31
fengvschen	4	fengjing13484545448	65827	159	41
fengy1214	3	fp991214	90322	1490	41
fengzhongaihuli	2	lwwymj3	69703	102	181
fenting0525	6	minmin198518	112935	414	241
ff3456	4	wyz20080306	557391	0	12
fg2003	6	9440014	103399	1044	41
fg5678	5	fg5678	122590	1375	31
fgg88888	1	Feng99982	214967	1163	11
fish19017	2	fish723548	293208	193	31
fj80896322	3	zcs88178	797609	1375	41
fjg5656999	6	abc4444777	175111	929	241
fjh951	1	164202735	149349	124	41
fjwysyd	1	fjwysyd2009	135311	751	41
fli_168__168	1	fli_166__166	292293	1906	11
flyindancer	6	flysht	128798	380	12
flying13823	3	dyflying138233	69028	900	11
fongchen03	4	bbssy2008	156192	1012	11
frankzhang1990	1	wgijwguw2222	73533	599	11
fsac270044	5	fgayll	56233	445	31
ft082823	2	ft082823	426340	1731	31
fwa12345	4	wh__y012345	231493	760	241
fwhdjh111	1	00845215691	72925	1053	241
fxxiaopang	4	zds202060	123678	1751	41
fy991214	3	fp19991214	112585	297	41
fyj1976	1	dcxxfl	84090	479	11
fzs7378	4	918918819819918	284238	1488	12
g010170aa	3	g010170a	307740	4800	41
galtgao	2	ggaltg2	268830	783	31
gandaojin0099	1	zhzhqing123456	294349	1386	12
gang8482	5	wxjwsy2008	300743	590	41
ganzhan888	4	kofcqd1983	1006213	234	12
gaobunny	1	changf_xy	204964	0	31
gaogao015	1	q380298882	251514	0	991
gaojianfengdl	1	13574984494b	86068	349	11
gaoming3170	1	csxcsx128@126	309694	462	241
gbasp9999	3	lzpjxsj200803	119247	58	11
gbdjdl-1009	1	gamezfzj1	90962	936	11
gbwzy2005	1	ACTION2010	562124	1404	241
gdzpc99	1	zggdsgrhzpc	139267	8535	41
gegang_1972	1	gg45lg	127854	7429	12
georgeqiao	1	georgeqiao	1004709	3200	11
geyanjie	2	geyanjie	130876	966	31
gf19750206	1	xiangwanhl1	136654	912	241
ggaltg	2	gbxitc16	207180	805	31
ggaltgao1	2	gbxitc15	152414	265	12
